724463,KANSAS CITY DOWNTOWN AP,MO,-6,39.117,-94.6,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,8,A,7,1,A,7,61,A,7,992,A,7,80,A,7,5.7,A,7,16100,B,7,1050,A,7,2.4,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,281
1/1/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,8,A,7,0,A,7,57,A,7,992,A,7,90,A,7,5.1,A,7,16100,B,7,840,A,7,2.4,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,279.978772
1/1/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,8,A,7,0,A,7,57,A,7,992,A,7,90,A,7,5.1,A,7,16100,B,7,660,A,7,2.4,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,279.7697925
1/1/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7,A,7,-1,A,7,56,A,7,992,A,7,80,A,7,6.2,A,7,16100,B,7,660,A,7,2.5,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,279.9865247
1/1/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7,A,7,-1,A,7,56,A,7,992,A,7,90,A,7,5.1,A,7,16100,B,7,540,A,7,2.5,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,278.9489221
1/1/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7,A,7,0,A,7,61,A,7,992,A,7,90,A,7,6.2,A,7,16100,B,7,420,A,7,2.6,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,278.7640787
1/1/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7,A,7,1,A,7,66,A,7,992,A,7,90,A,7,3.6,A,7,16100,B,7,420,A,7,2.5,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,278.6751075
1/1/2005,8:00,13,483,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,7,A,7,1,A,7,66,A,7,992,A,7,90,A,7,5.1,A,7,16100,B,7,360,A,7,2.5,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,278.6327273
1/1/2005,9:00,189,1415,21,2,9,0,2,21,21,2,9,25,2,9,0,2,21,25,2,9,82,2,25,10,E,9,10,A,7,7,A,7,2,A,7,70,A,7,992,A,7,90,A,7,5.7,A,7,12900,B,7,300,A,7,2.4,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,278.5378146
1/1/2005,10:00,390,1415,101,2,9,0,2,21,101,2,9,113,2,9,0,2,21,113,2,9,360,2,25,10,E,9,10,E,9,8,A,7,3,A,7,71,A,7,992,A,7,80,A,7,4.1,A,7,11300,B,7,300,A,7,2.5,E,8,0.066,F,8,0.18,F,8,0,1,D,9,5,C,8,278.5079367
1/1/2005,11:00,542,1415,65,2,9,0,2,21,65,2,9,78,2,9,0,2,21,78,2,9,291,2,25,10,E,9,10,E,9,9,A,7,6,A,7,81,A,7,992,A,7,70,A,7,3.1,A,7,9700,B,7,300,A,7,2.6,E,8,0.066,F,8,0.18,F,8,7,1,D,9,10,C,8,279.0188688
1/1/2005,12:00,635,1415,75,2,9,0,2,21,75,2,9,91,2,9,0,2,21,91,2,9,347,2,25,10,E,9,10,E,9,9,A,7,8,A,7,93,A,7,991,A,7,80,A,7,3.1,A,7,8000,B,7,300,A,7,2.7,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,279.4761387
1/1/2005,13:00,660,1415,78,2,9,0,2,21,78,2,9,95,2,9,0,2,21,95,2,9,364,2,25,10,E,9,10,A,7,10,A,7,9,A,7,93,A,7,990,A,7,80,A,7,3.6,A,7,6400,B,7,300,A,7,2.6,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,280.0029437
1/1/2005,14:00,617,1415,69,2,9,0,2,21,69,2,9,84,2,9,0,2,21,84,2,9,320,2,25,10,E,9,10,A,7,10,A,7,10,A,7,100,A,7,989,A,7,70,A,7,3.1,A,7,6400,B,7,420,A,7,2.6,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,280.4568844
1/1/2005,15:00,508,1415,138,2,9,12,2,21,133,2,9,155,2,9,8,2,21,152,2,9,499,2,25,10,E,9,10,A,7,12,A,7,11,A,7,94,A,7,988,A,7,60,A,7,2.1,A,7,4800,B,7,660,A,7,2.6,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,281.2549881
1/1/2005,16:00,342,1415,70,2,9,0,2,21,70,2,9,80,2,9,0,2,21,80,2,9,261,2,25,10,E,9,10,A,7,18,A,7,15,A,7,83,A,7,989,A,7,180,A,7,5.7,A,7,11300,B,7,1140,A,7,2.5,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,284.4211957
1/1/2005,17:00,131,1415,27,2,9,10,2,21,26,2,9,30,2,9,6,2,21,29,2,9,64,2,25,5,E,9,5,A,7,17,A,7,15,A,7,88,A,7,989,A,7,180,A,7,5.7,A,7,9700,B,7,77777,A,7,2.5,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,286.7981569
1/1/2005,18:00,1,130,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,A,7,17,A,7,14,A,7,82,A,7,988,A,7,170,A,7,7.7,A,7,11300,B,7,77777,A,7,2.5,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,287.6961503
1/1/2005,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,17,A,7,14,A,7,82,A,7,989,A,7,180,A,7,5.1,A,7,9700,B,7,77777,A,7,2.5,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,288.0998308
1/1/2005,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,17,A,7,14,A,7,82,A,7,989,A,7,180,A,7,5.7,A,7,11300,B,7,77777,A,7,2.6,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,288.2796057
1/1/2005,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,16,A,7,14,A,7,88,A,7,989,A,7,190,A,7,5.1,A,7,11300,B,7,77777,A,7,2.6,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,288.0328629
1/1/2005,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,16,A,7,14,A,7,88,A,7,990,A,7,210,A,7,4.6,A,7,11300,B,7,1800,A,7,2.6,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,287.722231
1/1/2005,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,16,A,7,14,A,7,88,A,7,990,A,7,210,A,7,5.7,A,7,11300,B,7,1350,A,7,2.6,E,8,0.066,F,8,0.18,F,8,3,1,D,9,0,C,8,287.5745626
1/1/2005,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,16,A,7,14,A,7,88,A,7,990,A,7,220,A,7,4.1,A,7,11300,B,7,1290,A,7,2.6,E,8,0.066,F,8,0.18,F,8,5,1,D,9,0,C,8,287.5056617
1/2/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,16,A,7,14,A,7,88,A,7,990,A,7,210,A,7,3.6,A,7,11300,B,7,2400,A,7,2.6,E,8,0.066,F,8,0.18,F,8,3,1,D,9,10,C,8,287.4737496
1/2/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,8,A,7,8,A,7,100,A,7,991,A,7,320,A,7,4.1,A,7,4000,B,7,390,A,7,2.6,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,284.75135
1/2/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,7,A,7,6,A,7,93,A,7,992,A,7,350,A,7,4.1,A,7,4800,B,7,210,A,7,2.6,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,281.6763999
1/2/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,4,A,7,4,A,7,100,A,7,993,A,7,340,A,7,3.6,A,7,3200,B,7,210,A,7,2.7,E,8,0.066,F,8,0.18,F,8,10,1,D,9,10,C,8,279.1433625
1/2/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,3,A,7,100,A,7,994,A,7,360,A,7,5.1,A,7,2000,B,7,120,A,7,2.7,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,277.1405522
1/2/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,2,A,7,93,A,7,994,A,7,350,A,7,4.6,A,7,8000,B,7,120,A,7,2.8,E,8,0.066,F,8,0.18,F,8,3,1,D,9,10,C,8,275.9210101
1/2/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2,A,7,2,A,7,100,A,7,995,A,7,360,A,7,4.1,A,7,4800,B,7,150,A,7,2.7,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,274.7651443
1/2/2005,8:00,13,483,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,2,A,7,1,A,7,93,A,7,996,A,7,360,A,7,4.6,A,7,4000,B,7,150,A,7,2.6,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,274.3830439
1/2/2005,9:00,188,1415,32,2,9,0,2,21,32,2,9,37,2,9,0,2,21,37,2,9,117,2,25,10,E,9,10,E,9,2,A,7,2,A,7,100,A,7,996,A,7,360,A,7,3.1,A,7,6400,B,7,150,A,7,2.5,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,273.908478
1/2/2005,10:00,390,1415,51,2,9,0,2,21,51,2,9,60,2,9,0,2,21,60,2,9,212,2,25,10,E,9,10,E,9,2,A,7,2,A,7,100,A,7,997,A,7,20,A,7,4.6,A,7,6400,B,7,240,A,7,2.4,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,273.5387488
1/2/2005,11:00,543,1415,59,2,9,0,2,21,59,2,9,71,2,9,0,2,21,71,2,9,267,2,25,10,E,9,10,A,7,2,A,7,1,A,7,93,A,7,997,A,7,10,A,7,4.1,A,7,8000,B,7,240,A,7,2.3,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,273.2955722
1/2/2005,12:00,636,1415,75,2,9,0,2,21,75,2,9,91,2,9,0,2,21,91,2,9,348,2,25,10,E,9,10,A,7,2,A,7,2,A,7,100,A,7,996,A,7,10,A,7,2.6,A,7,9700,B,7,240,A,7,2.2,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,273.1100953
1/2/2005,13:00,662,1415,78,2,9,0,2,21,78,2,9,95,2,9,0,2,21,95,2,9,365,2,25,10,E,9,10,A,7,2,A,7,2,A,7,100,A,7,995,A,7,20,A,7,4.6,A,7,6400,B,7,240,A,7,2.2,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,272.9824
1/2/2005,14:00,620,1415,69,2,9,0,2,21,69,2,9,84,2,9,0,2,21,84,2,9,320,2,25,10,E,9,10,A,7,2,A,7,2,A,7,100,A,7,996,A,7,360,A,7,3.6,A,7,6400,B,7,240,A,7,2.3,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,272.9497945
1/2/2005,15:00,511,1415,66,2,9,0,2,21,66,2,9,79,2,9,0,2,21,79,2,9,289,2,25,10,E,9,10,A,7,2,A,7,2,A,7,100,A,7,996,A,7,10,A,7,3.6,A,7,6400,B,7,180,A,7,2.3,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,272.9634281
1/2/2005,16:00,345,1415,45,2,9,0,2,21,45,2,9,53,2,9,0,2,21,53,2,9,184,2,25,10,E,9,10,A,7,2,A,7,2,A,7,100,A,7,996,A,7,360,A,7,2.6,A,7,4800,B,7,180,A,7,2.4,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,273.0489761
1/2/2005,17:00,134,1415,17,2,9,0,2,21,17,2,9,20,2,9,0,2,21,20,2,9,64,2,25,10,E,9,10,A,7,2,A,7,2,A,7,100,A,7,996,A,7,20,A,7,3.6,A,7,3200,B,7,120,A,7,2.4,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,273.2283835
1/2/2005,18:00,1,130,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,A,7,2,A,7,2,A,7,100,A,7,997,A,7,50,A,7,3.1,A,7,3200,B,7,120,A,7,2.5,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,273.4280727
1/2/2005,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2,A,7,2,A,7,100,A,7,997,A,7,20,A,7,3.1,A,7,2400,B,7,120,A,7,2.6,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,273.5566861
1/2/2005,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,1,A,7,100,A,7,997,A,7,30,A,7,3.6,A,7,2400,B,7,120,A,7,2.6,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,273.3052367
1/2/2005,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,1,A,7,100,A,7,997,A,7,20,A,7,3.6,A,7,2000,B,7,120,A,7,2.7,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,272.9923107
1/2/2005,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,1,A,7,100,A,7,996,A,7,20,A,7,5.1,A,7,4000,B,7,120,A,7,2.7,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,272.8359171
1/2/2005,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,1,A,7,100,A,7,997,A,7,30,A,7,3.1,A,7,2000,B,7,120,A,7,2.8,E,8,0.066,F,8,0.18,F,8,25,1,D,9,10,C,8,272.7595287
1/2/2005,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,1,A,7,100,A,7,996,A,7,50,A,7,4.6,A,7,2000,B,7,120,A,7,2.8,E,8,0.066,F,8,0.18,F,8,43,1,D,9,10,C,8,272.7225628
1/3/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,1,A,7,100,A,7,995,A,7,30,A,7,4.1,A,7,2400,B,7,90,A,7,2.9,E,8,0.066,F,8,0.18,F,8,30,1,D,9,10,C,8,272.7047509
1/3/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,1,A,7,100,A,7,996,A,7,0,A,7,0,A,7,3200,B,7,390,A,7,3,E,8,0.066,F,8,0.18,F,8,18,1,D,9,10,C,8,272.6961858
1/3/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,1,A,7,100,A,7,996,A,7,20,A,7,2.6,A,7,4800,B,7,240,A,7,3.1,E,8,0.066,F,8,0.18,F,8,13,1,D,9,10,C,8,272.6920711
1/3/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,1,A,7,100,A,7,995,A,7,50,A,7,3.1,A,7,4800,B,7,150,A,7,3.1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,272.6900953
1/3/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,1,A,7,100,A,7,994,A,7,80,A,7,3.6,A,7,8000,B,7,150,A,7,3.1,E,8,0.066,F,8,0.18,F,8,41,1,D,9,10,C,8,272.6891468
1/3/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,1,A,7,100,A,7,993,A,7,60,A,7,4.6,A,7,6400,B,7,180,A,7,3.2,E,8,0.066,F,8,0.18,F,8,56,1,D,9,10,C,8,272.6886914
1/3/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,1,A,7,100,A,7,994,A,7,350,A,7,2.6,A,7,2400,B,7,240,A,7,3.1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,272.6884729
1/3/2005,8:00,13,483,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,1,A,7,1,A,7,100,A,7,996,A,7,300,A,7,4.1,A,7,1600,B,7,240,A,7,3.1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,272.688368
1/3/2005,9:00,188,1415,107,2,9,226,2,21,77,2,9,109,2,9,132,2,21,91,2,9,162,2,25,9,E,9,9,E,9,1,A,7,1,A,7,100,A,7,993,A,7,60,A,7,5.7,A,7,16100,B,7,240,A,7,3.1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,273.0240401
1/3/2005,10:00,391,1415,108,2,9,13,2,21,105,2,9,121,2,9,7,2,21,119,2,9,369,2,25,10,E,9,10,E,9,2,A,7,1,A,7,93,A,7,995,A,7,20,A,7,2.6,A,7,16100,B,7,210,A,7,2.9,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,272.9247177
1/3/2005,11:00,544,1415,65,2,9,0,2,21,65,2,9,78,2,9,0,2,21,78,2,9,291,2,25,10,E,9,10,E,9,2,A,7,1,A,7,93,A,7,996,A,7,350,A,7,4.1,A,7,16100,B,7,240,A,7,2.7,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,272.8961636
1/3/2005,12:00,638,1415,143,2,9,0,2,21,143,2,9,165,2,9,0,2,21,165,2,9,592,2,25,10,E,9,10,E,9,2,A,7,1,A,7,93,A,7,995,A,7,10,A,7,3.6,A,7,9700,B,7,180,A,7,2.4,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,272.6791111
1/3/2005,13:00,664,1415,84,2,9,0,2,21,84,2,9,101,2,9,0,2,21,101,2,9,390,2,25,10,E,9,10,E,9,2,A,7,1,A,7,93,A,7,993,A,7,10,A,7,5.1,A,7,8000,B,7,240,A,7,2.3,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,272.6335331
1/3/2005,14:00,622,1415,69,2,9,0,2,21,69,2,9,84,2,9,0,2,21,84,2,9,320,2,25,10,E,9,10,E,9,2,A,7,1,A,7,93,A,7,994,A,7,360,A,7,4.1,A,7,12900,B,7,180,A,7,2.2,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,272.781406
1/3/2005,15:00,515,1415,94,2,9,0,2,21,94,2,9,109,2,9,0,2,21,109,2,9,388,2,25,10,E,9,10,E,9,2,A,7,1,A,7,93,A,7,994,A,7,360,A,7,3.6,A,7,8000,B,7,150,A,7,2,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,272.7898443
1/3/2005,16:00,349,1415,70,2,9,0,2,21,70,2,9,80,2,9,0,2,21,80,2,9,263,2,25,10,E,9,10,E,9,1,A,7,1,A,7,100,A,7,995,A,7,350,A,7,3.6,A,7,2800,B,7,120,A,7,2,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,272.4904294
1/3/2005,17:00,138,1415,31,2,9,24,2,21,28,2,9,33,2,9,15,2,21,32,2,9,69,2,25,10,E,9,10,E,9,1,A,7,1,A,7,100,A,7,996,A,7,360,A,7,2.6,A,7,4800,B,7,120,A,7,1.9,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,272.5039466
1/3/2005,18:00,1,153,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,A,7,1,A,7,0,A,7,93,A,7,996,A,7,350,A,7,3.1,A,7,4800,B,7,120,A,7,1.8,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,272.6363049
1/3/2005,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0,A,7,0,A,7,100,A,7,997,A,7,360,A,7,3.1,A,7,4800,B,7,150,A,7,1.8,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,272.3541442
1/3/2005,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0,A,7,-1,A,7,92,A,7,997,A,7,360,A,7,3.1,A,7,4800,B,7,150,A,7,1.9,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,272.0255872
1/3/2005,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0,A,7,-1,A,7,92,A,7,997,A,7,360,A,7,1.5,A,7,4800,B,7,120,A,7,1.9,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,271.8604638
1/3/2005,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-1,A,7,100,A,7,998,A,7,0,A,7,0,A,7,6400,B,7,150,A,7,1.8,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,271.4788871
1/3/2005,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-1,A,7,100,A,7,998,A,7,0,A,7,0,A,7,8000,B,7,150,A,7,1.8,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,271.0981596
1/3/2005,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-1,A,7,100,A,7,998,A,7,0,A,7,0,A,7,6400,B,7,150,A,7,1.7,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,270.9045538
1/4/2005,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-1,A,7,100,A,7,997,A,7,0,A,7,0,A,7,4800,B,7,150,A,7,1.8,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,270.8089735
1/4/2005,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-1,A,7,100,A,7,998,A,7,0,A,7,0,A,7,4800,B,7,120,A,7,1.8,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,270.7623548
1/4/2005,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-1,A,7,100,A,7,998,A,7,0,A,7,0,A,7,4000,B,7,90,A,7,1.9,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,270.739743
1/4/2005,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-1,A,7,100,A,7,998,A,7,0,A,7,0,A,7,6400,B,7,120,A,7,1.8,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,270.7288042
1/4/2005,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-2,A,7,92,A,7,997,A,7,0,A,7,0,A,7,6400,B,7,90,A,7,1.7,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,270.7235191
1/4/2005,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-1,A,7,100,A,7,996,A,7,0,A,7,0,A,7,4800,B,7,150,A,7,1.7,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,270.7209671
1/4/2005,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-2,A,7,92,A,7,997,A,7,0,A,7,0,A,7,4000,B,7,150,A,7,1.8,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,270.7197352
1/4/2005,8:00,13,483,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-1,A,7,-1,A,7,100,A,7,997,A,7,360,B,8,1.3,B,8,800,B,7,150,A,7,1.9,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,270.7191406
