726160,BERLIN MUNICIPAL,NH,-5,44.583,-71.183,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-6.9,B,8,-10.4,B,8,74,A,7,961,B,8,280,B,8,6.2,B,8,6400,C,8,1030,B,8,0.9,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,266.1
1/1/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7,A,7,-11,A,7,70,A,7,962,A,7,290,A,7,5.7,A,7,6400,B,7,1110,A,7,0.9,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,266.6732035
1/1/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-7,A,7,-11,A,7,70,A,7,963,A,7,290,A,7,3.6,A,7,4800,B,7,630,A,7,0.9,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,265.425342
1/1/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-7.7,B,8,-11.3,B,8,73,A,7,964,B,8,290,B,8,4.1,B,8,4800,C,8,690,B,8,0.9,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,265.0179036
1/1/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-8.5,B,8,-11.8,B,8,75,A,7,965,B,8,280,B,8,4.6,B,8,4800,C,8,750,B,8,0.9,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,264.4305772
1/1/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9,A,7,-12,A,7,77,A,7,967,A,7,280,A,7,5.1,A,7,4800,B,7,810,A,7,0.8,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,264.0068059
1/1/2001,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9,A,7,-12,A,7,77,A,7,968,B,8,280,B,8,3.1,A,7,4000,B,7,750,A,7,0.8,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,263.577533
1/1/2001,8:00,36,861,3,2,9,109,2,21,1,2,9,7,2,9,60,2,21,4,2,9,4,2,25,10,B,8,10,B,8,-9.9,B,8,-12.9,B,8,76,A,7,970,B,8,270,B,8,4.1,B,8,3600,C,8,765,B,8,0.8,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,263.3210265
1/1/2001,9:00,215,1415,125,2,9,426,2,21,60,2,9,127,2,9,278,2,21,85,2,9,111,2,25,10,E,9,10,E,9,-10,A,7,-13,A,7,76,A,7,971,A,7,270,A,7,5.1,A,7,3200,B,7,780,A,7,0.8,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,262.6658634
1/1/2001,10:00,375,1415,250,2,9,698,2,21,64,2,9,259,2,9,594,2,21,100,2,9,119,2,25,10,E,9,10,E,9,-9,A,7,-13,A,7,70,A,7,972,A,7,280,A,7,5.1,A,7,1600,B,7,330,A,7,0.8,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,264.70129
1/1/2001,11:00,485,1415,327,2,9,770,2,21,61,2,9,338,2,9,710,2,21,94,2,9,122,2,25,10,B,8,10,B,8,-8.6,B,8,-12.4,B,8,71,A,7,972,B,8,280,B,8,4.9,B,8,2666,C,8,420,B,8,0.8,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,267.5995962
1/1/2001,12:00,536,1415,366,2,9,657,2,21,116,2,9,374,2,9,608,2,21,143,2,9,215,2,25,10,B,8,10,B,8,-8.4,B,8,-11.9,B,8,73,A,7,973,B,8,290,B,8,4.8,B,8,3733,C,8,510,B,8,0.8,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,269.9344349
1/1/2001,13:00,524,1415,235,2,9,203,2,21,159,2,9,254,2,9,196,2,21,181,2,9,367,2,25,10,E,9,10,E,9,-9,A,7,-12,A,7,77,A,7,973,A,7,290,A,7,4.6,A,7,4800,B,7,600,A,7,0.8,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,268.5551443
1/1/2001,14:00,450,1415,307,2,9,658,2,21,96,2,9,312,2,9,583,2,21,126,2,9,173,2,25,10,E,9,10,E,9,-9,A,7,-12,A,7,77,A,7,973,A,7,280,A,7,2.6,A,7,9700,B,7,600,A,7,0.8,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,269.7747492
1/1/2001,15:00,320,1415,199,2,9,665,2,21,47,2,9,201,2,9,546,2,21,77,2,9,87,2,25,10,E,9,10,E,9,-8,A,7,-12,A,7,70,A,7,973,A,7,320,A,7,2.6,A,7,9700,B,7,600,A,7,0.8,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,272.8319065
1/1/2001,16:00,143,1415,64,2,9,334,2,21,30,2,9,65,2,9,187,2,21,46,2,9,52,2,25,10,E,9,10,E,9,-9,A,7,-12,A,7,77,A,7,974,A,7,320,B,8,3.1,A,7,16100,B,7,540,A,7,0.7,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,271.7410786
1/1/2001,17:00,5,318,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-10,A,7,-13,A,7,76,A,7,975,A,7,310,A,7,3.6,A,7,16100,B,7,540,A,7,0.7,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,267.4813647
1/1/2001,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-10,A,7,-13,A,7,76,A,7,976,A,7,270,A,7,3.1,A,7,11300,B,7,600,A,7,0.7,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,264.4612554
1/1/2001,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-11,A,7,-13,A,7,84,A,7,977,A,7,290,A,7,2.6,A,7,11300,B,7,600,A,7,0.7,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,262.8267693
1/1/2001,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-11,A,7,-16,A,7,63,A,7,977,A,7,330,A,7,2.1,A,7,16100,B,7,600,A,7,0.7,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,261.7617912
1/1/2001,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-11,A,7,-13,A,7,84,A,7,977,A,7,350,B,8,2.6,A,7,16100,B,7,510,A,7,0.7,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,261.3300113
1/1/2001,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-14,A,7,-16,A,7,83,A,7,977,A,7,0,A,7,0,A,7,16100,B,7,840,A,7,0.6,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,260.181855
1/1/2001,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-14,A,7,-16,A,7,83,A,7,977,A,7,0,A,7,0,A,7,16100,B,7,690,A,7,0.6,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,259.0753148
1/1/2001,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-13,A,7,-14,A,7,91,A,7,977,A,7,0,A,7,0,A,7,16100,B,7,690,A,7,0.6,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,258.8022941
1/2/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-12,A,7,-14,A,7,83,A,7,977,A,7,0,A,7,0,A,7,16100,B,7,630,A,7,0.6,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,259.1697848
1/2/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-12,A,7,-14,A,7,83,A,7,977,A,7,240,A,7,1.5,A,7,11300,B,7,510,A,7,0.6,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,259.5345442
1/2/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-12,A,7,-14,A,7,83,A,7,977,A,7,0,A,7,0,A,7,16100,B,7,570,A,7,0.6,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,259.7092293
1/2/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-12,A,7,-13,A,7,91,A,7,977,A,7,0,A,7,0,A,7,16100,B,7,570,A,7,0.6,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,259.7943732
1/2/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-12,A,7,-13,A,7,91,A,7,977,A,7,0,A,7,0,A,7,12900,B,7,570,A,7,0.6,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,259.8362714
1/2/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-12,A,7,-14,A,7,83,A,7,977,A,7,0,A,7,0,A,7,16100,B,7,630,A,7,0.6,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,259.8569907
1/2/2001,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-12,A,7,-14,A,7,83,A,7,977,A,7,350,A,7,1.5,A,7,16100,B,7,630,A,7,0.6,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,259.8672622
1/2/2001,8:00,36,861,3,2,9,112,2,21,2,2,9,8,2,9,62,2,21,5,2,9,8,2,25,10,E,9,10,E,9,-12,A,7,-14,A,7,83,A,7,978,A,7,330,B,8,1.5,A,7,16100,B,7,510,A,7,0.6,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,260.0659523
1/2/2001,9:00,215,1415,134,2,9,440,2,21,66,2,9,135,2,9,286,2,21,91,2,9,124,2,25,10,E,9,10,E,9,-11,A,7,-14,A,7,76,A,7,978,A,7,300,B,8,2.1,A,7,8000,B,7,510,A,7,0.6,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,260.7013802
1/2/2001,10:00,376,1415,243,2,9,642,2,21,72,2,9,250,2,9,543,2,21,104,2,9,131,2,25,10,E,9,10,E,9,-11,A,7,-14,A,7,76,A,7,978,A,7,280,A,7,2.6,A,7,9700,B,7,570,A,7,0.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,262.2058464
1/2/2001,11:00,487,1415,282,2,9,403,2,21,142,2,9,288,2,9,371,2,21,160,2,9,278,2,25,10,E,9,10,E,9,-10,A,7,-14,A,7,70,A,7,978,A,7,280,B,8,2.6,A,7,11300,B,7,570,A,7,0.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,263.8357997
1/2/2001,12:00,538,1415,214,2,9,109,2,21,172,2,9,231,2,9,106,2,21,191,2,9,399,2,25,10,E,9,10,E,9,-10,A,7,-14,A,7,70,A,7,977,A,7,280,A,7,3.1,A,7,12900,B,7,630,A,7,0.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,263.4688733
1/2/2001,13:00,526,1415,246,2,9,203,2,21,171,2,9,267,2,9,196,2,21,193,2,9,395,2,25,10,E,9,10,E,9,-10,A,7,-14,A,7,70,A,7,977,A,7,280,A,7,4.1,A,7,16100,B,7,630,A,7,0.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,262.943491
1/2/2001,14:00,453,1415,229,2,9,347,2,21,117,2,9,237,2,9,313,2,21,136,2,9,223,2,25,10,E,9,10,E,9,-10,A,7,-14,A,7,70,A,7,977,A,7,280,A,7,3.1,A,7,16100,B,7,630,A,7,0.6,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,264.6303092
1/2/2001,15:00,323,1415,199,2,9,558,2,21,71,2,9,201,2,9,443,2,21,100,2,9,123,2,25,8,E,9,8,E,9,-10,A,7,-14,A,7,70,A,7,976,A,7,280,A,7,4.6,A,7,16100,B,7,630,A,7,0.6,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,267.8120549
1/2/2001,16:00,146,1415,64,2,9,346,2,21,28,2,9,65,2,9,197,2,21,45,2,9,50,2,25,10,E,9,10,E,9,-10,A,7,-14,A,7,70,A,7,977,A,7,290,A,7,3.1,A,7,11300,B,7,840,A,7,0.6,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,268.7046245
1/2/2001,17:00,6,342,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-11,A,7,-13,A,7,84,A,7,976,A,7,330,B,8,2.6,A,7,16100,B,7,780,A,7,0.7,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,265.8259883
1/2/2001,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-11,A,7,-13,A,7,84,A,7,976,A,7,0,A,7,0,A,7,16100,B,7,720,A,7,0.7,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,263.2667417
1/2/2001,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,-12,A,7,-14,A,7,83,A,7,976,A,7,360,B,8,1.5,A,7,16100,B,7,750,A,7,0.7,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,261.768336
1/2/2001,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-11.9,B,8,-14.3,B,8,80,A,7,976,B,8,360,B,8,0.8,B,8,16100,C,8,750,B,8,0.7,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,260.8418961
1/2/2001,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-11,A,7,-14,A,7,76,A,7,976,A,7,0,A,7,0,A,7,16100,B,7,750,A,7,0.8,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,260.6908339
1/2/2001,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-10.6,B,8,-13.5,B,8,77,A,7,976,B,8,360,B,8,1.3,B,8,12900,C,8,900,B,8,0.8,E,8,0.069,F,8,0.16,F,8,0,1,D,9,71,C,8,260.9065424
1/2/2001,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-10,A,7,-13,A,7,76,A,7,975,A,7,360,B,8,2.6,A,7,9700,B,7,1050,A,7,0.8,E,8,0.069,F,8,0.16,F,8,0,1,D,9,71,C,8,261.2820086
1/2/2001,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-10,A,7,-13,A,7,76,A,7,975,A,7,360,B,8,2.1,A,7,12900,B,7,1170,A,7,0.9,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,261.5746275
1/3/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9,A,7,-13,A,7,70,A,7,975,A,7,0,A,7,0,A,7,16100,B,7,1290,A,7,0.9,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,262.0438725
1/3/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9,A,7,-13,A,7,70,A,7,975,A,7,260,A,7,3.1,A,7,9700,B,7,1290,A,7,0.9,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,262.4556919
1/3/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9,A,7,-12,A,7,77,A,7,975,A,7,270,A,7,4.1,A,7,8000,B,7,1350,A,7,0.8,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,262.6508031
1/3/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9,A,7,-13,A,7,70,A,7,975,A,7,270,A,7,4.1,A,7,12900,B,7,1230,A,7,0.8,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,262.7450258
1/3/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9,A,7,-12,A,7,77,A,7,975,A,7,300,B,8,1.5,A,7,16100,B,7,1260,A,7,0.8,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,262.7909969
1/3/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-9,A,7,-13,A,7,70,A,7,975,A,7,320,A,7,1.5,A,7,14500,B,7,1140,A,7,0.7,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,262.8135446
1/3/2001,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-13,A,7,-15,A,7,83,A,7,975,A,7,0,A,7,0,A,7,16100,B,7,930,A,7,0.7,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,261.5502667
1/3/2001,8:00,37,861,3,2,9,109,2,21,2,2,9,8,2,9,60,2,21,5,2,9,8,2,25,10,E,9,10,E,9,-13,A,7,-14,A,7,91,A,7,975,B,8,0,A,7,0,A,7,4800,B,7,960,A,7,0.7,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,260.4663701
1/3/2001,9:00,216,1415,134,2,9,426,2,21,68,2,9,134,2,9,277,2,21,92,2,9,128,2,25,10,E,9,10,E,9,-9,A,7,-13,A,7,70,A,7,975,A,7,300,A,7,2.1,A,7,16100,B,7,780,A,7,0.6,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,261.3668366
1/3/2001,10:00,377,1415,250,2,9,717,2,21,58,2,9,253,2,9,615,2,21,88,2,9,105,2,25,10,B,8,10,B,8,-8,B,8,-12.6,B,8,66,A,7,975,B,8,290,B,8,2.6,B,8,15300,C,8,825,B,8,0.6,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,264.0856136
1/3/2001,11:00,488,1415,346,2,9,807,2,21,66,2,9,356,2,9,742,2,21,98,2,9,128,2,25,10,E,9,10,E,9,-7,A,7,-12,A,7,64,A,7,975,A,7,280,B,8,3.1,A,7,14500,B,7,870,A,7,0.6,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,268.30482
1/3/2001,12:00,540,1415,385,2,9,838,2,21,64,2,9,403,2,9,791,2,21,99,2,9,132,2,25,10,E,9,10,E,9,-6,A,7,-12,A,7,59,A,7,975,A,7,270,A,7,3.1,A,7,16100,B,7,1050,A,7,0.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,272.4178864
1/3/2001,13:00,529,1415,376,2,9,835,2,21,62,2,9,393,2,9,785,2,21,98,2,9,129,2,25,10,E,9,10,E,9,-5,A,7,-12,A,7,54,A,7,974,A,7,300,A,7,2.6,A,7,16100,B,7,1110,A,7,0.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,275.8485618
1/3/2001,14:00,456,1415,307,2,9,782,2,21,54,2,9,320,2,9,713,2,21,89,2,9,111,2,25,10,B,8,9,B,8,-5.3,B,8,-12,B,8,55,A,7,974,B,8,320,B,8,2.6,B,8,16100,C,8,990,B,8,0.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,277.6387234
1/3/2001,15:00,326,1415,199,2,9,615,2,21,57,2,9,205,2,9,498,2,21,90,2,9,104,2,25,9,E,9,8,E,9,-6,A,7,-12,A,7,59,A,7,973,A,7,340,B,8,2.6,A,7,16100,B,7,870,A,7,0.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,277.0492228
1/3/2001,16:00,150,1415,61,2,9,206,2,21,39,2,9,63,2,9,110,2,21,51,2,9,71,2,25,9,E,9,7,E,9,-6,A,7,-12,A,7,59,A,7,973,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,273.5606315
1/3/2001,17:00,6,366,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,8,E,9,6,E,9,-9,A,7,-13,A,7,70,A,7,972,A,7,140,A,7,1.5,A,7,16100,B,7,77777,A,7,0.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,268.5869808
1/3/2001,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,4,E,9,-11,A,7,-12,A,7,91,A,7,971,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,264.8164963
1/3/2001,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-12,A,7,-13,A,7,91,A,7,971,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,262.5298697
1/3/2001,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,5,E,9,-12,A,7,-14,A,7,83,A,7,971,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,261.2413304
1/3/2001,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,3,E,9,-12,A,7,-14,A,7,83,A,7,970,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,260.6092789
1/3/2001,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,2,E,9,-15,A,7,-16,A,7,91,A,7,969,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.5,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,259.3630666
1/3/2001,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,4,E,9,-17,A,7,-19,A,7,83,A,7,968,A,7,80,A,7,1.5,A,7,16100,B,7,77777,A,7,0.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,257.5563701
1/3/2001,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,4,E,9,-17,A,7,-19,A,7,83,A,7,968,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,256.3087031
1/4/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,-17,A,7,-18,A,7,91,A,7,967,A,7,0,A,7,0,A,7,16100,B,7,3600,A,7,0.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,255.6686416
1/4/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-16,A,7,-18,A,7,83,A,7,967,A,7,0,A,7,0,A,7,16100,B,7,2400,A,7,0.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,255.6197164
1/4/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-15,A,7,-17,A,7,83,A,7,966,A,7,0,A,7,0,A,7,16100,B,7,2400,A,7,0.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,256.1022139
1/4/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-14,A,7,-16,A,7,83,A,7,966,A,7,0,A,7,0,A,7,14500,B,7,2700,A,7,0.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,256.8565157
1/4/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-14,A,7,-16,A,7,83,A,7,965,A,7,0,A,7,0,A,7,6400,B,7,1800,A,7,0.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,257.3998639
1/4/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-14,A,7,-16,A,7,83,A,7,965,A,7,0,A,7,0,A,7,11300,B,7,2100,A,7,0.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,257.6573478
1/4/2001,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-14,A,7,-16,A,7,83,A,7,965,A,7,0,A,7,0,A,7,9700,B,7,2100,A,7,0.4,E,8,0.069,F,8,0.16,F,8,0,1,D,9,0,C,8,257.7824068
