723575,LAWTON MUNICIPAL,OK,-6,34.567,-98.417,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-1,A,7,-3,A,7,85,A,7,973,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,272
1/1/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-1,A,7,-2,A,7,92,A,7,973,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1.5,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,271.3602441
1/1/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2,A,7,-1,A,7,80,A,7,973,A,7,80,A,7,2.1,A,7,16100,B,7,77777,A,7,1.6,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,272.0376788
1/1/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,0,A,7,75,A,7,973,A,7,70,A,7,2.1,A,7,16100,B,7,77777,A,7,1.7,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,273.6520357
1/1/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,-1,A,7,74,A,7,972,A,7,70,A,7,2.6,A,7,16100,B,7,77777,A,7,1.8,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,274.3949989
1/1/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,0,A,7,-1,A,7,92,A,7,972,A,7,360,A,7,1.5,A,7,16100,B,7,77777,A,7,1.9,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,273.6320761
1/1/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,0,A,7,-2,A,7,85,A,7,972,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,2,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,272.5752526
1/1/2000,8:00,11,413,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,-1,A,7,-2,A,7,92,A,7,972,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,2.1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,271.8412922
1/1/2000,9:00,195,1415,112,2,8,460,2,15,48,2,8,112,2,8,293,2,15,71,2,8,80,2,19,0,E,9,0,E,9,6,A,7,0,A,7,65,A,7,974,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,2.2,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,274.6177121
1/1/2000,10:00,420,1415,291,2,8,751,2,15,67,2,8,293,2,8,661,2,15,96,2,8,118,2,19,0,E,9,0,E,9,9,A,7,0,A,7,53,A,7,974,A,7,170,A,7,1.5,A,7,16100,B,7,77777,A,7,2.2,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,279.0078768
1/1/2000,11:00,596,1415,427,2,8,835,2,15,74,2,8,445,2,8,799,2,15,107,2,8,152,2,19,0,E,9,0,E,9,14,A,7,0,A,7,38,A,7,974,A,7,180,A,7,4.6,A,7,16100,B,7,77777,A,7,2.3,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,284.7382268
1/1/2000,12:00,711,1415,507,2,8,818,2,15,94,2,8,526,2,8,800,2,15,123,2,8,195,2,19,0,E,9,0,E,9,17,A,7,0,A,7,32,A,7,973,A,7,170,A,7,6.2,A,7,16100,B,7,77777,A,7,2.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,290.9725748
1/1/2000,13:00,756,1415,538,2,8,799,2,15,110,2,8,554,2,8,782,2,15,134,2,8,223,2,19,1,E,9,0,E,9,20,A,7,0,A,7,26,A,7,971,A,7,190,A,7,6.7,A,7,16100,B,7,77777,A,7,2.3,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,294.124538
1/1/2000,14:00,728,1415,527,2,8,853,2,15,86,2,8,554,2,8,840,2,15,120,2,8,189,2,19,0,E,9,0,E,9,22,A,7,0,A,7,23,A,7,970,A,7,200,A,7,6.7,A,7,16100,B,7,77777,A,7,2.2,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,296.7115343
1/1/2000,15:00,629,1415,439,2,8,803,2,15,80,2,8,456,2,8,774,2,15,110,2,8,164,2,19,0,E,9,0,E,9,23,A,7,0,A,7,22,A,7,969,A,7,180,A,7,7.7,A,7,16100,B,7,77777,A,7,2.1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,298.8479956
1/1/2000,16:00,467,1415,305,2,8,729,2,15,64,2,8,314,2,8,663,2,15,94,2,8,123,2,19,3,E,9,1,E,9,23,A,7,0,A,7,22,A,7,968,A,7,180,A,7,7.7,A,7,16100,B,7,77777,A,7,2,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,299.2711824
1/1/2000,17:00,252,1415,144,2,8,591,2,15,38,2,8,145,2,8,449,2,15,65,2,8,71,2,19,2,E,9,1,E,9,21,A,7,-1,A,7,23,A,7,967,A,7,180,A,7,5.1,A,7,16100,B,7,77777,A,7,1.8,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,297.7049776
1/1/2000,18:00,35,766,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,1,E,9,1,E,9,18,A,7,-1,A,7,27,A,7,967,A,7,160,A,7,5.1,A,7,16100,B,7,77777,A,7,1.7,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,292.1266819
1/1/2000,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,16,A,7,-1,A,7,31,A,7,967,A,7,160,A,7,4.1,A,7,16100,B,7,77777,A,7,1.6,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,288.4147356
1/1/2000,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,15,A,7,-1,A,7,33,A,7,967,A,7,170,A,7,4.6,A,7,16100,B,7,77777,A,7,1.5,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,286.6710946
1/1/2000,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,16,A,7,-1,A,7,31,A,7,967,A,7,160,A,7,7.7,A,7,16100,B,7,77777,A,7,1.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,286.8994267
1/1/2000,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,15,A,7,-1,A,7,33,A,7,968,A,7,180,A,7,6.7,A,7,16100,B,7,77777,A,7,1.3,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,286.8627322
1/1/2000,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,14,A,7,-1,A,7,35,A,7,968,A,7,190,A,7,6.2,A,7,16100,B,7,77777,A,7,1.1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,286.8882971
1/1/2000,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,14,A,7,11,A,7,82,A,7,968,A,7,200,A,7,4.1,A,7,16100,B,7,3300,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,286.5032212
1/2/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,12,A,7,9,A,7,82,A,7,968,A,7,210,A,7,3.1,A,7,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,285.0643582
1/2/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,11,A,7,7,A,7,76,A,7,968,A,7,240,A,7,3.1,A,7,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,283.5672444
1/2/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,12,A,7,4,A,7,58,A,7,970,A,7,200,A,7,4.1,A,7,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,283.3507589
1/2/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,7,E,9,12,A,7,3,A,7,54,A,7,969,A,7,280,A,7,2.6,A,7,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,283.4380816
1/2/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,2,E,9,12,A,7,2,A,7,50,A,7,970,A,7,280,A,7,3.1,A,7,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,283.4784433
1/2/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,3,E,9,11,A,7,1,A,7,50,A,7,971,A,7,210,A,7,4.1,A,7,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,283.1770405
1/2/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,1,E,9,9,A,7,-1,A,7,49,A,7,971,A,7,280,A,7,3.6,A,7,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,281.9885365
1/2/2000,8:00,10,413,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,2,E,9,1,E,9,6,A,7,-1,A,7,60,A,7,971,A,7,300,A,7,1.5,A,7,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,279.5388607
1/2/2000,9:00,194,1415,123,2,8,575,2,15,44,2,8,124,2,8,369,2,15,73,2,8,75,2,19,1,E,9,1,E,9,4,A,7,-1,A,7,69,A,7,972,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,278.5472528
1/2/2000,10:00,420,1415,298,2,8,777,2,15,67,2,8,301,2,8,684,2,15,97,2,8,118,2,19,1,E,9,0,E,9,8,A,7,-1,A,7,52,A,7,973,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,279.942492
1/2/2000,11:00,597,1415,427,2,8,768,2,15,102,2,8,445,2,8,736,2,15,133,2,8,203,2,19,0,E,9,0,E,9,12,A,7,-2,A,7,37,A,7,973,A,7,300,B,8,1.6,B,8,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,283.8977657
1/2/2000,12:00,712,1415,488,2,8,739,2,15,115,2,8,513,2,8,730,2,15,144,2,8,246,2,19,0,E,9,0,E,9,14,A,7,-3,A,7,30,A,7,973,A,7,240,A,7,3.1,A,7,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,288.5821608
1/2/2000,13:00,757,1415,538,2,8,805,2,15,105,2,8,556,2,8,790,2,15,131,2,8,218,2,19,0,E,9,0,E,9,16,A,7,-3,A,7,26,A,7,972,A,7,190,A,7,3.6,A,7,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,290.910162
1/2/2000,14:00,730,1415,510,2,8,806,2,15,92,2,8,532,2,8,792,2,15,122,2,8,197,2,19,0,E,9,0,E,9,17,A,7,-3,A,7,25,A,7,971,A,7,220,A,7,4.1,A,7,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,293.4670625
1/2/2000,15:00,632,1415,451,2,8,821,2,15,82,2,8,467,2,8,791,2,15,112,2,8,167,2,19,0,E,9,0,E,9,18,A,7,-3,A,7,23,A,7,970,A,7,210,A,7,3.1,A,7,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,295.4115376
1/2/2000,16:00,470,1415,316,2,8,764,2,15,61,2,8,326,2,8,698,2,15,93,2,8,120,2,19,0,E,9,0,E,9,18,A,7,-3,A,7,23,A,7,969,A,7,180,A,7,4.6,A,7,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,296.1264079
1/2/2000,17:00,255,1415,149,2,8,608,2,15,39,2,8,151,2,8,464,2,15,66,2,8,72,2,19,0,E,9,0,E,9,17,A,7,-2,A,7,27,A,7,969,A,7,190,A,7,3.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,294.9894626
1/2/2000,18:00,37,790,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,13,A,7,-2,A,7,35,A,7,969,A,7,130,A,7,2.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,289.1698264
1/2/2000,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,8,A,7,-1,A,7,52,A,7,968,A,7,100,A,7,2.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,283.3278391
1/2/2000,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,-2,A,7,64,A,7,968,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1.1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,279.1758438
1/2/2000,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,-2,A,7,68,A,7,967,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1.1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,276.5388716
1/2/2000,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,6,E,9,4,A,7,-1,A,7,69,A,7,967,A,7,280,A,7,2.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,275.8634558
1/2/2000,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,9,E,9,10,A,7,-1,A,7,46,A,7,967,A,7,0,A,7,0,A,7,16100,B,7,3000,A,7,1.2,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,277.9182707
1/2/2000,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,9,A,7,4,A,7,71,A,7,965,A,7,320,A,7,4.1,A,7,16100,B,7,810,A,7,1.2,E,8,0.058,F,8,0.19,F,8,0,1,D,9,61,C,8,279.610444
1/3/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,9,A,7,8,A,7,93,A,7,966,A,7,300,A,7,3.1,A,7,8000,B,7,660,A,7,1.1,E,8,0.058,F,8,0.19,F,8,17,1,D,9,65,C,8,280.1282411
1/3/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,8.4,B,8,7.4,B,8,93,A,7,965,B,8,210,B,8,2.9,B,8,12050,C,8,1680,B,8,1.1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,280.1622902
1/3/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,8,A,7,7,A,7,93,A,7,963,A,7,120,A,7,2.6,A,7,16100,B,7,2700,A,7,1.1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,279.9347494
1/3/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,7,A,7,6,A,7,93,A,7,964,A,7,160,A,7,3.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,279.4461197
1/3/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7,A,7,6,A,7,93,A,7,964,A,7,160,A,7,5.1,A,7,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,279.0111658
1/3/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7,A,7,3,A,7,76,A,7,964,A,7,210,A,7,3.6,A,7,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,278.7943399
1/3/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,2,A,7,87,A,7,965,A,7,230,A,7,4.1,A,7,16100,B,7,77777,A,7,1,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,277.6312356
1/3/2000,8:00,10,413,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,3,A,7,1,A,7,87,A,7,965,A,7,240,A,7,3.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,276.1935582
1/3/2000,9:00,194,1415,124,2,8,576,2,15,44,2,8,124,2,8,369,2,15,73,2,8,75,2,19,0,E,9,0,E,9,6,A,7,2,A,7,75,A,7,966,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,277.5837192
1/3/2000,10:00,420,1415,298,2,8,777,2,15,67,2,8,301,2,8,684,2,15,97,2,8,118,2,19,0,E,9,0,E,9,8,A,7,2,A,7,66,A,7,967,A,7,220,A,7,4.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,280.0999059
1/3/2000,11:00,597,1415,434,2,8,854,2,15,72,2,8,453,2,8,819,2,15,106,2,8,150,2,19,0,E,9,0,E,9,10,A,7,0,A,7,50,A,7,967,A,7,240,A,7,7.2,A,7,16100,B,7,77777,A,7,0.9,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,283.6370108
1/3/2000,12:00,713,1415,532,2,8,879,2,15,87,2,8,557,2,8,863,2,15,120,2,8,187,2,19,0,E,9,0,E,9,12,A,7,-1,A,7,40,A,7,967,A,7,260,A,7,5.7,A,7,16100,B,7,77777,A,7,0.8,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,287.5272048
1/3/2000,13:00,759,1415,556,2,8,860,2,15,93,2,8,583,2,8,849,2,15,126,2,8,204,2,19,0,E,9,0,E,9,13,A,7,-1,A,7,38,A,7,967,A,7,250,A,7,7.7,A,7,16100,B,7,77777,A,7,0.8,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,290.2873374
1/3/2000,14:00,733,1415,545,2,8,889,2,15,83,2,8,576,2,8,878,2,15,120,2,8,185,2,19,0,E,9,0,E,9,12,A,7,-1,A,7,40,A,7,968,A,7,270,A,7,7.7,A,7,16100,B,7,77777,A,7,0.8,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,292.0981857
1/3/2000,15:00,635,1415,451,2,8,816,2,15,83,2,8,467,2,8,787,2,15,113,2,8,168,2,19,0,E,9,0,E,9,11,A,7,-1,A,7,43,A,7,969,A,7,290,A,7,8.7,A,7,16100,B,7,77777,A,7,0.7,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,292.4135923
1/3/2000,16:00,473,1415,301,2,8,509,2,15,130,2,8,310,2,8,465,2,15,154,2,8,251,2,19,5,E,9,5,E,9,9,A,7,2,A,7,61,A,7,971,A,7,320,A,7,8.2,A,7,16100,B,7,77777,A,7,0.7,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,289.9825791
1/3/2000,17:00,259,1415,75,2,8,86,2,15,59,2,8,82,2,8,65,2,15,70,2,8,126,2,19,10,E,9,10,E,9,6,A,7,1,A,7,70,A,7,973,A,7,330,A,7,9.3,A,7,16100,B,7,660,A,7,0.6,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,284.5473714
1/3/2000,18:00,38,790,2,2,8,0,2,15,2,2,8,3,2,8,0,2,15,3,2,8,8,2,19,10,E,9,10,E,9,4,A,7,0,A,7,75,A,7,975,A,7,330,A,7,8.7,A,7,16100,B,7,600,A,7,0.6,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,279.7339225
1/3/2000,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,4,A,7,-2,A,7,64,A,7,978,A,7,340,A,7,8.7,A,7,16100,B,7,720,A,7,0.6,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,277.1363309
1/3/2000,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,4,A,7,-2,A,7,64,A,7,979,A,7,330,A,7,6.7,A,7,16100,B,7,930,A,7,0.5,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,277.189928
1/3/2000,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,3,A,7,-3,A,7,63,A,7,981,A,7,330,A,7,11.3,A,7,16100,B,7,990,A,7,0.5,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,276.970078
1/3/2000,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2,A,7,-1,A,7,80,A,7,982,A,7,330,A,7,6.2,A,7,14500,B,7,1170,A,7,0.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,71,C,8,274.5911635
1/3/2000,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,1,A,7,-2,A,7,79,A,7,983,A,7,320,A,7,9.8,A,7,14500,B,7,990,A,7,0.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,71,C,8,269.8189793
1/3/2000,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,0.5,B,8,-3,B,8,75,A,7,984,B,8,330,B,8,8.5,B,8,15300,C,8,1995,B,8,0.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,271.2289998
1/4/2000,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,0,A,7,-4,A,7,72,A,7,985,A,7,330,A,7,7.2,A,7,16100,B,7,3000,A,7,0.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,271.5771681
1/4/2000,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-1,A,7,-5,A,7,71,A,7,985,A,7,330,A,7,7.7,A,7,16100,B,7,660,A,7,0.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,272.29725
1/4/2000,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-2,A,7,-6,A,7,71,A,7,986,A,7,320,A,7,6.2,A,7,16100,B,7,77777,A,7,0.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,271.5468421
1/4/2000,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-2,A,7,-8,A,7,60,A,7,987,A,7,330,A,7,4.6,A,7,16100,B,7,77777,A,7,0.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,270.448006
1/4/2000,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-2,A,7,-10,A,7,50,A,7,987,A,7,330,A,7,6.7,A,7,16100,B,7,77777,A,7,0.4,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,270.090227
1/4/2000,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-3,A,7,-11,A,7,50,A,7,988,A,7,320,A,7,5.1,A,7,16100,B,7,77777,A,7,0.3,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,270.1468391
1/4/2000,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-4,A,7,-11,A,7,54,A,7,989,A,7,330,A,7,5.1,A,7,16100,B,7,77777,A,7,0.3,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,268.7258606
1/4/2000,8:00,10,413,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,-4,A,7,-11,A,7,54,A,7,990,A,7,330,A,7,4.6,A,7,16100,B,7,77777,A,7,0.3,E,8,0.058,F,8,0.19,F,8,0,1,D,9,0,C,8,268.1347479
