722245,PANAMA CITY BAY CO,FL,-6,30.2,-85.683,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,8,A,7,7,A,7,93,A,7,1021,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1.7,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,281
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,8,A,7,7,A,7,93,A,7,1021,A,7,130,A,7,1.5,A,7,16100,B,7,77777,A,7,1.7,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,280.2795826
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7,A,7,6,A,7,93,A,7,1021,A,7,40,A,7,1.5,A,7,16100,B,7,77777,A,7,1.7,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,279.560699
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,7,A,7,7,A,7,100,A,7,1021,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1.7,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,279.0699596
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7,A,7,7,A,7,100,A,7,1021,A,7,100,A,7,1.5,A,7,12900,B,7,77777,A,7,1.7,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,278.8230734
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,8,A,7,7,A,7,93,A,7,1022,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1.7,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,279.0354774
1/1/1999,7:00,13,460,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,8,A,7,7,A,7,93,A,7,1022,A,7,80,A,7,2.1,A,7,16100,B,7,77777,A,7,1.7,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,279.3272113
1/1/1999,8:00,216,1415,120,2,8,423,2,15,55,2,8,120,2,8,281,2,15,76,2,8,91,2,19,0,E,9,0,E,9,9,A,7,7,A,7,87,A,7,1022,A,7,70,A,7,1.5,A,7,16100,B,7,77777,A,7,1.8,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,280.3602871
1/1/1999,9:00,459,1415,311,2,8,743,2,15,70,2,8,316,2,8,669,2,15,98,2,8,127,2,19,0,E,9,0,E,9,12,A,7,7,A,7,71,A,7,1022,A,7,90,A,7,4.1,A,7,16100,B,7,77777,A,7,1.8,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,283.0135075
1/1/1999,10:00,652,1415,433,2,8,675,2,15,121,2,8,450,2,8,654,2,15,147,2,8,244,2,19,0,E,9,0,E,9,15,A,7,7,A,7,59,A,7,1022,A,7,90,A,7,4.1,A,7,16100,B,7,77777,A,7,1.9,E,8,0.068,F,8,0.16,F,8,0,1,D,9,0,C,8,287.1857868
