722686,CLOVIS CANNON AFB,NM,-7,34.383,-103.317,1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1997,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,1,E,9,7,E,9,-3.2,E,9,47,A,7,872,B,8,30,E,9,5,E,9,11300,C,8,77777,E,9,1.2,E,8,0.043,F,8,0.19,F,8,0,1,D,9,0,C,8,280
1/1/1997,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,1,E,9,5.9,E,9,-3,E,9,51,A,7,872,B,8,40,E,9,4.6,E,9,11300,C,8,77777,E,9,1.1,E,8,0.043,F,8,0.19,F,8,0,1,D,9,0,C,8,278.2961125
1/1/1997,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,1,E,9,5.3,E,9,-3.4,E,9,52,A,7,871,B,8,30,E,9,5.2,E,9,11300,C,8,77777,E,9,1.1,E,8,0.043,F,8,0.19,F,8,0,1,D,9,0,C,8,278.0711507
1/1/1997,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,1,E,9,3.6,E,9,-3.2,E,9,59,A,7,871,B,8,60,E,9,3.1,E,9,11300,C,8,77777,E,9,1.1,E,8,0.043,F,8,0.19,F,8,0,1,D,9,0,C,8,276.6301939
1/1/1997,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,1,E,9,2.5,E,9,-3.7,E,9,61,A,7,871,B,8,30,E,9,4.9,E,9,11300,C,8,77777,E,9,1.1,E,8,0.043,F,8,0.19,F,8,0,1,D,9,0,C,8,274.9435179
1/1/1997,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,E,9,1,E,9,4.2,E,9,-2.9,E,9,58,A,7,871,B,8,20,E,9,3.9,E,9,11300,C,8,77777,E,9,1.1,E,8,0.043,F,8,0.19,F,8,0,1,D,9,0,C,8,275.0974461
1/1/1997,7:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3,E,9,3,E,9,3.6,E,9,-3.3,E,9,59,A,7,871,B,8,30,E,9,1.8,E,9,11300,C,8,77777,E,9,1.1,E,8,0.043,F,8,0.19,F,8,0,1,D,9,0,C,8,275.293946
1/1/1997,8:00,117,1380,47,1,18,17,1,22,45,1,18,51,1,18,11,1,22,50,1,18,97,1,34,9,E,9,9,E,9,3.5,E,9,-2.6,E,9,63,A,7,870,B,8,30,E,9,1.4,E,9,11300,C,8,7500,E,9,1.1,E,8,0.043,F,8,0.19,F,8,0,1,D,9,0,C,8,275.1640666
1/1/1997,9:00,354,1415,122,1,18,48,1,22,109,1,18,132,1,18,42,1,22,122,1,18,270,1,34,9,E,9,9,E,9,7.3,E,9,-1.9,E,9,51,A,7,870,B,8,30,E,9,0.9,E,9,11300,C,8,7500,E,9,1.1,E,8,0.043,F,8,0.19,F,8,0,1,D,9,0,C,8,276.23598
1/1/1997,10:00,548,1415,354,1,18,668,1,22,95,1,18,369,1,18,629,1,22,124,1,18,185,1,34,2,E,9,2,E,9,9,E,9,-2.9,E,9,42,A,7,870,B,8,10,E,9,2,E,9,11300,C,8,77777,E,9,1.1,E,8,0.043,F,8,0.19,F,8,0,1,D,9,0,C,8,279.7945282
1/1/1997,11:00,685,1415,431,1,18,735,1,22,75,1,18,458,1,18,721,1,22,107,1,18,166,1,34,3,E,9,3,E,9,9.5,E,9,-1.6,E,9,45,A,7,870,B,8,10,E,9,1.5,E,9,11300,C,8,77777,E,9,1.1,E,8,0.043,F,8,0.19,F,8,0,1,D,9,0,C,8,283.204366
1/1/1997,12:00,754,1415,516,1,18,700,1,22,143,1,18,538,1,18,691,1,22,169,1,18,307,1,34,2,E,9,2,E,9,10.1,E,9,-1.5,E,9,44,A,7,870,B,8,360,E,9,1.1,E,9,11300,C,8,77777,E,9,1.1,E,8,0.043,F,8,0.19,F,8,0,1,D,9,0,C,8,284.9084888
