723306,COLUMBUS AFB,MS,-6,33.65,-88.45,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-1,E,9,-2,E,9,92,A,7,1012,E,9,130,E,9,2.6,E,9,11300,C,8,77777,E,9,0.9,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,272
1/1/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-1,E,9,-2,E,9,92,A,7,1013,E,9,130,E,9,2.6,E,9,11300,C,8,77777,E,9,0.9,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,271.3698233
1/1/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-2,E,9,-2,E,9,100,A,7,1013,E,9,120,E,9,2.1,E,9,11300,C,8,77777,E,9,0.8,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,270.7708277
1/1/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,2,E,9,-1,E,9,-2,E,9,92,A,7,1013,E,9,150,E,9,3.1,E,9,11300,C,8,77777,E,9,0.8,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,270.5618273
1/1/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-1,E,9,-1,E,9,100,A,7,1013,E,9,180,E,9,3.6,E,9,11300,C,8,6000,E,9,0.7,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,270.6433242
1/1/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,7,E,9,-1,E,9,-2,E,9,92,A,7,1013,E,9,180,E,9,3.1,E,9,11300,C,8,6000,E,9,0.7,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,270.6823647
1/1/2001,7:00,0,12,0,2,0,0,2,0,0,2,0,0,2,1,0,2,2,0,2,2,0,2,1,9,E,9,8,E,9,-1,E,9,-2,E,9,92,A,7,1014,E,9,170,E,9,3.4,E,9,11300,C,8,6000,E,9,0.6,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,270.7011291
1/1/2001,8:00,124,1415,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,10,E,9,10,E,9,0,E,9,-1,E,9,92,A,7,1014,E,9,160,E,9,3.6,E,9,11300,C,8,6000,E,9,0.6,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,271.0407717
1/1/2001,9:00,363,1415,93,2,8,0,2,15,93,2,8,104,2,8,0,2,15,104,2,8,328,2,19,10,E,9,10,E,9,3,E,9,-1,E,9,74,A,7,1015,E,9,170,E,9,3.6,E,9,11300,C,8,6000,E,9,0.5,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,272.1342608
1/1/2001,10:00,560,1415,295,2,8,291,2,15,180,2,8,311,2,8,286,2,15,197,2,8,390,2,19,10,E,9,10,E,9,5,E,9,-2,E,9,59,A,7,1015,E,9,200,E,9,4.1,E,9,11300,C,8,3600,E,9,0.5,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,274.2517644
1/1/2001,11:00,698,1415,418,2,8,486,2,15,177,2,8,439,2,8,485,2,15,198,2,8,374,2,19,10,E,9,10,E,9,8,E,9,-2,E,9,48,A,7,1015,E,9,190,E,9,5.1,E,9,11300,C,8,3600,E,9,0.4,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,278.2133365
1/1/2001,12:00,768,1415,470,2,8,524,2,15,185,2,8,498,2,8,531,2,15,209,2,8,408,2,19,10,E,9,10,E,9,9,E,9,-1,E,9,49,A,7,1013,E,9,170,E,9,4.6,E,9,11300,C,8,3600,E,9,0.4,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,282.2557524
1/1/2001,13:00,766,1415,521,2,8,718,2,15,131,2,8,546,2,8,714,2,15,159,2,8,289,2,19,10,E,9,10,E,9,9,E,9,0,E,9,53,A,7,1013,E,9,220,E,9,5.1,E,9,11300,C,8,3600,E,9,0.4,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,285.3293808
1/1/2001,14:00,690,1415,464,2,8,736,2,15,103,2,8,489,2,8,726,2,15,133,2,8,220,2,19,10,E,9,10,E,9,10,E,9,2,E,9,57,A,7,1013,E,9,170,E,9,6.7,E,9,11300,C,8,3600,E,9,0.4,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,288.5820389
1/1/2001,15:00,546,1415,321,2,8,555,2,15,105,2,8,330,2,8,519,2,15,129,2,8,200,2,19,10,E,9,10,E,9,10,E,9,2,E,9,57,A,7,1014,E,9,200,E,9,4.1,E,9,11300,C,8,2700,E,9,0.5,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,289.2004379
1/1/2001,16:00,346,1415,179,2,8,465,2,15,65,2,8,184,2,8,382,2,15,90,2,8,118,2,19,10,E,9,10,E,9,7.4,E,9,0.8,E,9,63,A,7,1015,E,9,200,E,9,4.5,E,9,11300,C,8,4323,E,9,0.5,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,287.4842406
1/1/2001,17:00,105,1309,35,2,8,205,2,15,20,2,8,39,2,8,108,2,15,29,2,8,37,2,19,9,E,9,9,E,9,5.8,E,9,1.7,E,9,75,A,7,1016,E,9,160,E,9,2.9,E,9,11300,C,8,5946,E,9,0.6,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,284.2259504
1/1/2001,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,4.2,E,9,0.5,E,9,77,A,7,1018,E,9,100,E,9,2.4,E,9,11300,C,8,7569,E,9,0.6,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,280.1937776
1/1/2001,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,0.5,E,9,0.5,E,9,100,A,7,1020,E,9,80,E,9,3.3,E,9,11300,C,8,7692,E,9,0.7,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,276.564035
1/1/2001,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,7,E,9,-1.1,E,9,-1.1,E,9,100,A,7,1021,E,9,80,E,9,3.2,E,9,11300,C,8,9315,E,9,0.7,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,273.8699515
1/1/2001,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,7,E,9,-2.7,E,9,-2.7,E,9,100,A,7,1022,E,9,100,E,9,2.1,E,9,11300,C,8,10938,E,9,0.8,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,271.8117613
1/1/2001,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,-3.3,E,9,-3.3,E,9,100,A,7,1023,E,9,60,E,9,2.6,E,9,11300,C,8,12562,E,9,0.8,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,270.3497465
1/1/2001,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,-3.9,E,9,-3.9,E,9,100,A,7,1024,E,9,60,E,9,2.5,E,9,11300,C,8,15385,E,9,0.9,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,269.3258183
1/1/2001,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,-5.5,E,9,-5.5,E,9,100,A,7,1025,E,9,60,E,9,2.4,E,9,11300,C,8,17008,E,9,0.9,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,268.2103676
1/2/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,-6.2,E,9,-6.2,E,9,100,A,7,1026,E,9,20,E,9,2.8,E,9,11300,C,8,17431,E,9,0.9,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,267.1471356
1/2/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,-7.8,E,9,-7.8,E,9,100,A,7,1027,E,9,360,E,9,3.3,E,9,11300,C,8,19054,E,9,0.8,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,265.9930102
1/2/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,-7.4,E,9,-7.8,E,9,97,A,7,1028,E,9,360,E,9,2.7,E,9,11300,C,8,20677,E,9,0.8,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,265.0455896
1/2/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,A,7,3,E,9,-9,A,7,-9,A,7,100,A,7,1028,A,7,10,A,7,3.1,A,7,11300,B,7,77777,A,7,0.7,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,264.2373112
1/2/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,A,7,2,E,9,-9,A,7,-9,A,7,100,A,7,1028,A,7,360,A,7,2.6,A,7,11300,B,7,77777,A,7,0.7,E,8,0.063,F,8,0.16,F,8,0,1,D,9,0,C,8,263.5771383
