723235,MUSCLE SHOALS REGIONAL AP,AL,-6,34.75,-87.6,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-3,A,7,-4,A,7,92,A,7,1013,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,270
1/1/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-3,A,7,-4,A,7,92,A,7,1013,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,269.3888717
1/1/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,-3,A,7,-4,A,7,92,A,7,1013,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,269.0679157
1/1/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-4,A,7,-5,A,7,92,A,7,1013,A,7,120,A,7,2.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,268.6163779
1/1/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,-3,A,7,-6,A,7,77,A,7,1014,A,7,150,A,7,3.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,268.5003571
1/1/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-3,A,7,-6,A,7,77,A,7,1014,A,7,140,A,7,3.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,268.629107
1/1/1998,7:00,0,12,0,2,0,0,2,0,0,2,0,0,2,1,0,2,2,0,2,2,0,2,1,0,E,9,0,E,9,-3,A,7,-6,A,7,77,A,7,1014,A,7,140,A,7,3.6,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,268.6907997
1/1/1998,8:00,124,1415,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,-2,A,7,-4,A,7,85,A,7,1014,A,7,160,A,7,2.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,269.0503822
1/1/1998,9:00,358,1415,239,2,8,704,2,15,60,2,8,247,2,8,590,2,15,97,2,8,111,2,19,0,E,9,0,E,9,1,A,7,-4,A,7,67,A,7,1015,A,7,160,A,7,3.1,A,7,16100,B,7,77777,A,7,0.9,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,271.7338917
1/1/1998,10:00,549,1415,382,2,8,810,2,15,66,2,8,399,2,8,766,2,15,100,2,8,136,2,19,0,E,9,0,E,9,3,A,7,-4,A,7,58,A,7,1015,A,7,150,A,7,5.1,A,7,16100,B,7,77777,A,7,1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,275.3886685
1/1/1998,11:00,682,1415,494,2,8,863,2,15,76,2,8,522,2,8,846,2,15,112,2,8,167,2,19,0,E,9,0,A,7,6,A,7,-5,A,7,43,A,7,1014,A,7,160,A,7,4.6,A,7,16100,B,7,77777,A,7,1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,280.6026181
1/1/1998,12:00,747,1415,549,2,8,879,2,15,83,2,8,582,2,8,870,2,15,120,2,8,188,2,19,0,E,9,0,E,9,8,A,7,-6,A,7,34,A,7,1013,A,7,160,A,7,5.7,A,7,16100,B,7,77777,A,7,1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,284.6725657
1/1/1998,13:00,740,1415,538,2,8,879,2,15,76,2,8,561,2,8,860,2,15,110,2,8,163,2,19,0,E,9,0,E,9,9,A,7,-7,A,7,29,A,7,1012,A,7,160,A,7,4.6,A,7,16100,B,7,77777,A,7,1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,287.8508142
1/1/1998,14:00,661,1415,468,2,8,842,2,15,73,2,8,495,2,8,822,2,15,109,2,8,160,2,19,0,E,9,0,A,7,10,A,7,-8,A,7,25,A,7,1011,A,7,180,A,7,4.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,289.7790966
1/1/1998,15:00,516,1415,345,2,8,787,2,15,57,2,8,363,2,8,738,2,15,93,2,8,121,2,19,0,E,9,0,E,9,11,A,7,-8,A,7,24,A,7,1011,A,7,180,A,7,4.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,290.8061233
1/1/1998,16:00,315,1415,180,2,8,650,2,15,34,2,8,190,2,8,545,2,15,68,2,8,78,2,19,0,E,9,0,E,9,10,A,7,-8,A,7,25,A,7,1011,A,7,180,A,7,4.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,290.0305208
1/1/1998,17:00,80,1144,24,2,8,276,2,15,9,2,8,32,2,8,170,2,15,19,2,8,27,2,19,0,E,9,0,E,9,7,A,7,-5,A,7,40,A,7,1011,A,7,150,A,7,3.6,A,7,16100,B,7,77777,A,7,1.1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,286.0191582
1/1/1998,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6,A,7,-4,A,7,47,A,7,1011,A,7,160,A,7,4.1,A,7,16100,B,7,77777,A,7,1.1,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,281.2207914
1/1/1998,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,4,A,7,-7,A,7,42,A,7,1011,A,7,150,A,7,2.6,A,7,16100,B,7,77777,A,7,1.2,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,277.6673676
1/1/1998,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,-6,A,7,45,A,7,1011,A,7,130,A,7,2.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,276.3219754
1/1/1998,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,3,A,7,-6,A,7,49,A,7,1011,A,7,170,A,7,2.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,275.4008586
1/1/1998,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4,A,7,-6,A,7,45,A,7,1011,A,7,160,A,7,2.1,A,7,16100,B,7,77777,A,7,1.2,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,275.339567
1/1/1998,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,3,A,7,-6,A,7,49,A,7,1011,A,7,150,A,7,2.1,A,7,15566,C,8,77777,B,8,1.3,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,275.1799425
1/1/1998,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,3,A,7,-5,A,7,53,A,7,1011,A,7,140,A,7,2.6,A,7,15033,C,8,77777,B,8,1.3,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,274.9123996
1/2/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,1,A,7,-5,A,7,61,A,7,1010,A,7,140,A,7,3.6,A,7,14500,C,8,77777,B,8,1.3,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,274.0063306
1/2/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,0,A,7,-6,A,7,60,A,7,1010,A,7,130,A,7,3.1,A,7,13966,C,8,77777,B,8,1.3,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,272.8260692
1/2/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,1,A,7,-6,A,7,56,A,7,1010,A,7,130,A,7,3.6,A,7,13433,C,8,77777,B,8,1.3,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,272.5734474
1/2/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,1,A,7,-7,A,7,51,A,7,1010,A,7,130,A,7,2.6,A,7,12900,C,8,77777,B,8,1.4,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,272.6333499
1/2/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,0,A,7,-7,A,7,55,A,7,1011,A,7,140,A,7,3.1,A,7,12366,C,8,77777,B,8,1.4,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,272.3526328
1/2/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,B,8,0,B,8,0,A,7,-6,A,7,60,A,7,1011,A,7,140,A,7,3.6,A,7,11833,C,8,77777,B,8,1.4,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,272.024816
1/2/1998,7:00,0,12,0,2,0,0,2,0,0,2,0,0,2,1,0,2,2,0,2,2,0,2,1,0,E,9,0,E,9,0,A,7,-6,A,7,60,A,7,1011,A,7,130,A,7,3.6,A,7,11300,B,7,77777,A,7,1.4,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,271.860083
1/2/1998,8:00,124,1415,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,1,E,9,1,E,9,2,A,7,-6,A,7,52,A,7,1012,A,7,130,A,7,3.1,A,7,11300,B,7,77777,A,7,1.4,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,272.4517956
1/2/1998,9:00,358,1415,239,2,8,704,2,15,60,2,8,247,2,8,590,2,15,97,2,8,111,2,19,2,E,9,1,E,9,4,A,7,-5,A,7,49,A,7,1012,A,7,130,A,7,3.6,A,7,16100,B,7,77777,A,7,1.5,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,275.099123
1/2/1998,10:00,550,1415,376,2,8,649,2,15,122,2,8,383,2,8,603,2,15,148,2,8,226,2,19,6,E,9,5,A,7,7,A,7,-4,A,7,44,A,7,1013,A,7,150,A,7,3.1,A,7,16100,B,7,77777,A,7,1.5,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,278.2575842
1/2/1998,11:00,683,1415,405,2,8,444,2,15,190,2,8,421,2,8,441,2,15,207,2,8,402,2,19,4,B,8,3,B,8,9.4,B,8,-4.1,B,8,37,A,7,1012,B,8,190,B,8,3.4,B,8,16100,C,8,77777,B,8,1.5,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,281.3023579
1/2/1998,12:00,749,1415,439,2,8,434,2,15,209,2,8,458,2,8,437,2,15,226,2,8,462,2,19,2,E,9,1,E,9,12,A,7,-4,A,7,31,A,7,1011,A,7,220,A,7,3.6,A,7,16100,B,7,77777,A,7,1.5,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,284.227241
1/2/1998,13:00,742,1415,526,2,8,718,2,15,148,2,8,545,2,8,706,2,15,173,2,8,313,2,19,10,E,9,9,A,7,13,A,7,-4,A,7,29,A,7,1009,A,7,160,A,7,4.1,A,7,16100,B,7,3600,A,7,1.5,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,288.4786353
1/2/1998,14:00,664,1415,365,2,8,350,2,15,200,2,8,388,2,8,358,2,15,219,2,8,446,2,19,10,E,9,10,A,7,14,A,7,-4,A,7,27,A,7,1009,A,7,190,A,7,3.1,A,7,16100,B,7,3300,A,7,1.5,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,288.1926423
1/2/1998,15:00,519,1415,232,2,8,198,2,15,159,2,8,252,2,8,191,2,15,181,2,8,367,2,19,6,E,9,5,A,7,14,A,7,-4,A,7,27,A,7,1008,A,7,160,A,7,4.6,A,7,16100,B,7,77777,A,7,1.6,E,8,0.066,F,8,0.17,F,8,0,1,D,9,0,C,8,286.2555769
1/2/1998,16:00,318,1415,171,2,8,450,2,15,69,2,8,173,2,8,356,2,15,92,2,8,120,2,19,10,E,9,9,A,7,13,A,7,-1,A,7,38,A,7,1008,A,7,160,A,7,4.1,A,7,16100,B,7,3300,A,7,1.6,E,8,0.066,F,8,0.17,F,8,0,1,D,9,10,C,8,287.2497346
1/2/1998,17:00,83,1167,25,2,8,247,2,15,11,2,8,31,2,8,143,2,15,21,2,8,25,2,19,10,E,9,10,A,7,12,A,7,-1,A,7,40,A,7,1008,A,7,150,A,7,4.1,A,7,16100,B,7,3300,A,7,1.6,E,8,0.066,F,8,0.17,F,8,0,1,D,9,10,C,8,286.8380664
1/2/1998,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,A,7,10,A,7,-1,A,7,46,A,7,1008,A,7,140,A,7,4.1,A,7,11300,B,7,77777,A,7,1.6,E,8,0.066,F,8,0.17,F,8,0,1,D,9,10,C,8,283.8024864
1/2/1998,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,11,A,7,-1,A,7,43,A,7,1008,A,7,140,A,7,3.6,A,7,16100,B,7,3300,A,7,1.6,E,8,0.066,F,8,0.17,F,8,0,1,D,9,10,C,8,282.3207596
1/2/1998,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,10,A,7,-1,A,7,46,A,7,1008,A,7,140,A,7,3.1,A,7,16100,B,7,3300,A,7,1.7,E,8,0.066,F,8,0.17,F,8,0,1,D,9,10,C,8,282.1091493
1/2/1998,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,A,7,9,A,7,1,A,7,57,A,7,1008,A,7,130,A,7,4.1,A,7,16100,B,7,77777,A,7,1.7,E,8,0.066,F,8,0.17,F,8,0,1,D,9,10,C,8,281.6667432
1/2/1998,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,9,A,7,2,A,7,61,A,7,1008,A,7,140,A,7,3.6,A,7,16100,B,7,3300,A,7,1.7,E,8,0.066,F,8,0.17,F,8,0,1,D,9,10,C,8,281.106267
1/2/1998,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,9,A,7,3,A,7,66,A,7,1008,A,7,130,A,7,2.1,A,7,16100,B,7,3300,A,7,1.7,E,8,0.066,F,8,0.17,F,8,0,1,D,9,10,C,8,280.8230229
1/2/1998,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,8,A,7,4,A,7,76,A,7,1007,A,7,120,A,7,1.5,A,7,16100,B,7,3300,A,7,1.7,E,8,0.066,F,8,0.17,F,8,0,1,D,9,10,C,8,280.3785225
1/3/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,8,A,7,5,A,7,81,A,7,1007,A,7,130,A,7,2.1,A,7,16100,B,7,3300,A,7,1.7,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,279.9677314
1/3/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,8,A,7,5,A,7,81,A,7,1007,A,7,140,A,7,2.6,A,7,16100,B,7,77777,A,7,1.8,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,279.7644372
1/3/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,3,A,7,7,A,7,5,A,7,87,A,7,1007,A,7,140,A,7,1.5,A,7,16100,B,7,77777,A,7,1.8,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,279.3577473
1/3/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,7,A,7,4,A,7,81,A,7,1007,A,7,130,A,7,3.1,A,7,16100,B,7,3300,A,7,1.8,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,278.9663787
1/3/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,8,A,7,6,A,7,87,A,7,1007,A,7,120,A,7,3.1,A,7,16100,B,7,3300,A,7,1.8,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,279.1015725
1/3/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,5,A,7,8,A,7,6,A,7,87,A,7,1007,A,7,140,A,7,4.6,A,7,16100,B,7,77777,A,7,1.8,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,279.3573719
1/3/1998,7:00,0,12,0,2,0,0,2,0,0,2,0,0,2,1,0,2,2,0,2,2,0,2,1,5,E,9,3,A,7,7,A,7,5,A,7,87,A,7,1007,A,7,140,A,7,5.1,A,7,14500,B,7,77777,A,7,1.8,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,279.1540397
1/3/1998,8:00,123,1415,0,2,8,0,2,15,0,2,8,0,2,8,0,2,15,0,2,8,0,2,19,0,E,9,0,E,9,8,A,7,6,A,7,87,A,7,1007,A,7,120,A,7,2.1,A,7,14500,B,7,77777,A,7,1.8,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,279.1893073
1/3/1998,9:00,358,1415,224,2,8,593,2,15,73,2,8,228,2,8,491,2,15,103,2,8,130,2,19,1,E,9,0,E,9,11,A,7,7,A,7,76,A,7,1008,A,7,140,A,7,3.6,A,7,16100,B,7,77777,A,7,1.8,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,281.4716135
1/3/1998,10:00,550,1415,369,2,8,748,2,15,77,2,8,379,2,8,702,2,15,105,2,8,148,2,19,0,E,9,0,E,9,14,A,7,8,A,7,67,A,7,1008,A,7,150,A,7,4.6,A,7,16100,B,7,77777,A,7,1.8,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,285.1934765
1/3/1998,11:00,684,1415,494,2,8,857,2,15,78,2,8,521,2,8,839,2,15,113,2,8,170,2,19,0,E,9,0,A,7,17,A,7,9,A,7,59,A,7,1007,A,7,170,A,7,5.7,A,7,16100,B,7,77777,A,7,1.8,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,290.6915785
1/3/1998,12:00,751,1415,549,2,8,873,2,15,84,2,8,581,2,8,865,2,15,121,2,8,190,2,19,3,B,8,2,B,8,18.2,B,8,9.1,B,8,55,A,7,1007,B,8,180,B,8,4.9,B,8,16100,C,8,77777,B,8,1.8,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,294.3844076
1/3/1998,13:00,745,1415,538,2,8,867,2,15,80,2,8,572,2,8,859,2,15,118,2,8,183,2,19,5,E,9,3,A,7,19,A,7,9,A,7,52,A,7,1006,A,7,190,A,7,4.1,A,7,16100,B,7,77777,A,7,1.8,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,297.1425485
1/3/1998,14:00,667,1415,474,2,8,848,2,15,73,2,8,502,2,8,829,2,15,109,2,8,161,2,19,5,E,9,2,A,7,19,A,7,9,A,7,52,A,7,1005,A,7,180,A,7,6.2,A,7,16100,B,7,77777,A,7,1.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,298.6740284
1/3/1998,15:00,522,1415,346,2,8,770,2,15,60,2,8,362,2,8,723,2,15,94,2,8,125,2,19,5,E,9,3,A,7,19,A,7,9,A,7,52,A,7,1005,A,7,190,A,7,6.7,A,7,16100,B,7,77777,A,7,1.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,298.9950844
1/3/1998,16:00,322,1415,181,2,8,634,2,15,36,2,8,189,2,8,529,2,15,68,2,8,76,2,19,1,E,9,1,E,9,19,A,7,9,A,7,52,A,7,1005,A,7,170,A,7,5.1,A,7,16100,B,7,77777,A,7,1.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,298.1654881
1/3/1998,17:00,86,1191,28,2,8,279,2,15,12,2,8,36,2,8,173,2,15,22,2,8,32,2,19,1,E,9,1,E,9,16,A,7,9,A,7,63,A,7,1005,A,7,150,A,7,3.1,A,7,16100,B,7,77777,A,7,1.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,294.4959337
1/3/1998,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,14,A,7,9,A,7,72,A,7,1005,A,7,150,A,7,3.1,A,7,16100,B,7,77777,A,7,1.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,289.6129665
1/3/1998,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,13,A,7,8,A,7,72,A,7,1006,A,7,140,A,7,3.6,A,7,16100,B,7,77777,A,7,1.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,286.2888645
1/3/1998,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,B,8,0,B,8,12.3,B,8,8.2,B,8,76,A,7,1006,B,8,130,B,8,3.3,B,8,16100,C,8,77777,B,8,1.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,284.5347557
1/3/1998,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,B,8,1,B,8,11.6,B,8,8,B,8,79,A,7,1006,B,8,130,B,8,2.9,B,8,16100,C,8,77777,B,8,1.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,283.9461434
1/3/1998,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,11,A,7,8,A,7,82,A,7,1006,A,7,120,A,7,2.6,A,7,16100,B,7,77777,A,7,1.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,283.3398962
1/3/1998,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,5,E,9,12,A,7,8,A,7,76,A,7,1005,A,7,150,A,7,3.1,A,7,16100,B,7,77777,A,7,1.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,283.2422008
1/3/1998,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,B,8,3,B,8,11.7,B,8,8.1,B,8,79,A,7,1005,B,8,140,B,8,2.6,B,8,16100,C,8,77777,B,8,1.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,283.287973
1/4/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,11,A,7,8,A,7,82,A,7,1005,A,7,120,A,7,2.1,A,7,16100,B,7,77777,A,7,1.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,283.0260149
1/4/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,9,A,7,8,A,7,93,A,7,1004,A,7,130,A,7,2.6,A,7,16100,B,7,77777,A,7,1.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,282.1353538
1/4/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,10,A,7,8,A,7,87,A,7,1004,A,7,110,A,7,2.6,A,7,16100,B,7,77777,A,7,1.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,281.6355042
1/4/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,B,8,1,B,8,9.6,B,8,8.1,B,8,90,A,7,1004,B,8,110,B,8,3.4,B,8,16100,C,8,77777,B,8,1.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,281.4589063
1/4/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,9,A,7,8,A,7,93,A,7,1004,A,7,110,A,7,4.1,A,7,16100,B,7,77777,A,7,1.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,281.1096063
1/4/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,8,A,7,7,A,7,93,A,7,1004,A,7,100,A,7,2.1,A,7,14500,B,7,77777,A,7,1.9,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,280.5299184
1/4/1998,7:00,0,12,0,2,0,0,2,0,0,2,0,0,2,1,0,2,2,0,2,2,0,2,1,1,B,8,0,B,8,7.6,B,8,6.8,B,8,95,A,7,1005,B,8,50,B,8,1.1,B,8,12100,C,8,77777,B,8,2,E,8,0.065,F,8,0.17,F,8,0,1,D,9,10,C,8,279.9289286
