724467,WHITEMAN AFB,MO,-6,38.717,-93.55,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1998,11:00,559,1415,390,2,9,815,2,21,67,2,9,408,2,9,773,2,21,101,2,9,139,2,25,9,A,7,8,E,9,9,A,7,-3,A,7,41,A,7,988,A,7,210,A,7,13.4,A,7,11300,B,7,6000,A,7,1.1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,284.5945659
1/1/1998,12:00,647,1415,440,2,9,563,2,21,182,2,9,456,2,9,554,2,21,202,2,9,378,2,25,9,A,7,7,E,9,10,A,7,-2,A,7,42,A,7,988,A,7,200,A,7,12.3,A,7,11300,B,7,6000,A,7,1.1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,283.6769412
1/1/1998,13:00,667,1415,221,2,9,108,2,21,170,2,9,244,2,9,110,2,21,191,2,9,416,2,25,9,A,7,8,E,9,11,A,7,-1,A,7,43,A,7,987,A,7,200,A,7,13.9,A,7,11300,B,7,6000,A,7,1.1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,287.4809587
1/1/1998,14:00,619,1415,404,2,9,511,2,21,179,2,9,416,2,9,498,2,21,197,2,9,368,2,25,5,A,7,4,E,9,12,A,7,0,A,7,44,A,7,986,A,7,200,A,7,13.4,A,7,11300,B,7,77777,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,285.1283386
1/1/1998,15:00,505,1415,346,2,9,726,2,21,85,2,9,359,2,9,672,2,21,118,2,9,164,2,25,3,A,7,3,E,9,12,A,7,0,A,7,44,A,7,986,A,7,190,A,7,9.8,A,7,11300,B,7,77777,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,284.6429048
1/1/1998,16:00,334,1415,207,2,9,659,2,21,51,2,9,210,2,9,547,2,21,80,2,9,93,2,25,5,A,7,4,E,9,12,A,7,1,A,7,47,A,7,986,A,7,200,A,7,10.8,A,7,11300,B,7,77777,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,289.3759894
1/1/1998,17:00,120,1415,47,2,9,325,2,21,20,2,9,48,2,9,189,2,21,32,2,9,37,2,25,5,A,7,4,E,9,11,A,7,2,A,7,54,A,7,986,A,7,200,A,7,12.3,A,7,11300,B,7,77777,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,288.5269535
1/1/1998,18:00,0,35,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,2,A,7,2,E,9,9,A,7,1,A,7,57,A,7,986,A,7,190,A,7,8.2,A,7,11300,B,7,77777,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,284.4332952
1/1/1998,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,A,7,3,E,9,9,A,7,1,A,7,57,A,7,986,A,7,190,A,7,8.2,A,7,11300,B,7,77777,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,281.7166309
1/1/1998,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,A,7,2,E,9,8,A,7,1,A,7,61,A,7,986,A,7,190,A,7,8.2,A,7,11300,B,7,77777,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,279.2164831
1/1/1998,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,A,7,3,E,9,8,A,7,0,A,7,57,A,7,986,A,7,190,A,7,8.7,A,7,11300,B,7,77777,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,279.4104043
1/1/1998,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,7,E,9,9,A,7,1,A,7,57,A,7,986,A,7,190,A,7,9.8,A,7,11300,B,7,1200,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,279.8403541
1/1/1998,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,A,7,4,E,9,9,A,7,2,A,7,61,A,7,986,A,7,180,A,7,9.3,A,7,11300,B,7,77777,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,280.2308175
1/1/1998,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,A,7,4,E,9,10,A,7,2,A,7,57,A,7,986,A,7,190,A,7,7.7,A,7,11300,B,7,77777,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,280.7524564
1/2/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,4,E,9,11,A,7,3,A,7,58,A,7,986,A,7,180,A,7,6.7,A,7,11300,B,7,900,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,281.5351239
1/2/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,11,A,7,3,A,7,58,A,7,986,A,7,180,A,7,7.7,A,7,11300,B,7,900,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,282.0786948
1/2/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,4,E,9,11,A,7,3,A,7,58,A,7,986,A,7,180,A,7,8.7,A,7,11300,B,7,900,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,282.3221803
1/2/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,4,E,9,11,A,7,3,A,7,58,A,7,985,A,7,190,A,7,8.2,A,7,11300,B,7,1350,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,282.4335694
1/2/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,4,E,9,10,A,7,4,A,7,66,A,7,985,A,7,180,A,7,6.7,A,7,11300,B,7,930,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,0,C,8,283.2975354
1/2/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,4,E,9,11,A,7,5,A,7,66,A,7,984,A,7,190,A,7,7.7,A,7,11300,B,7,900,A,7,0.9,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,284.2195643
1/2/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,4,E,9,11,A,7,6,A,7,71,A,7,984,A,7,180,A,7,8.7,A,7,11300,B,7,720,A,7,0.9,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,285.1511098
1/2/1998,8:00,21,601,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,A,7,10,E,9,12,A,7,6,A,7,67,A,7,984,A,7,180,A,7,7.7,A,7,11300,B,7,660,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,283.2204005
1/2/1998,9:00,210,1415,50,2,9,0,2,21,50,2,9,56,2,9,0,2,21,56,2,9,168,2,25,10,A,7,10,E,9,12,A,7,6,A,7,67,A,7,984,A,7,170,A,7,7.7,A,7,11300,B,7,690,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,283.2005283
1/2/1998,10:00,410,1415,114,2,9,6,2,21,112,2,9,127,2,9,4,2,21,126,2,9,395,2,25,10,A,7,10,E,9,12,A,7,8,A,7,76,A,7,984,A,7,170,A,7,5.7,A,7,11300,B,7,660,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,282.8854987
1/2/1998,11:00,560,1415,65,2,9,0,2,21,65,2,9,78,2,9,0,2,21,78,2,9,294,2,25,10,A,7,10,E,9,14,A,7,9,A,7,72,A,7,984,A,7,190,A,7,8.2,A,7,11300,B,7,660,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,283.5035856
1/2/1998,12:00,648,1415,74,2,9,0,2,21,74,2,9,90,2,9,0,2,21,90,2,9,346,2,25,10,A,7,10,E,9,15,A,7,10,A,7,72,A,7,983,A,7,190,A,7,8.2,A,7,11300,B,7,660,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,284.5945272
1/2/1998,13:00,669,1415,90,2,9,0,2,21,90,2,9,108,2,9,0,2,21,108,2,9,415,2,25,10,A,7,10,E,9,16,A,7,10,A,7,68,A,7,981,A,7,180,A,7,9.3,A,7,11300,B,7,840,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,285.5508265
1/2/1998,14:00,622,1415,81,2,9,0,2,21,81,2,9,97,2,9,0,2,21,97,2,9,369,2,25,9,A,7,4,E,9,16,A,7,11,A,7,72,A,7,981,A,7,190,A,7,11.3,A,7,11300,B,7,780,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,286.1535104
1/2/1998,15:00,508,1415,137,2,9,18,2,21,131,2,9,155,2,9,12,2,21,151,2,9,494,2,25,9,A,7,4,E,9,16,A,7,11,A,7,72,A,7,981,A,7,190,A,7,9.8,A,7,11300,B,7,780,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,286.3578931
1/2/1998,16:00,338,1415,124,2,9,96,2,21,101,2,9,134,2,9,81,2,21,115,2,9,220,2,25,9,A,7,4,E,9,16,A,7,11,A,7,72,A,7,981,A,7,190,A,7,8.2,A,7,11300,B,7,1440,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,287.0155928
1/2/1998,17:00,123,1415,35,2,9,117,2,21,25,2,9,37,2,9,56,2,21,32,2,9,44,2,25,9,A,7,4,E,9,15,A,7,11,A,7,77,A,7,981,A,7,180,A,7,7.7,A,7,11300,B,7,1440,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,289.0462836
1/2/1998,18:00,0,59,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,9,A,7,4,E,9,13,A,7,10,A,7,82,A,7,981,A,7,160,A,7,6.7,A,7,11300,B,7,990,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,286.8843674
1/2/1998,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,4,E,9,13,A,7,10,A,7,82,A,7,981,A,7,160,A,7,6.7,A,7,11300,B,7,1200,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,284.8366786
1/2/1998,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,4,E,9,13,A,7,10,A,7,82,A,7,981,A,7,170,A,7,6.2,A,7,11300,B,7,1350,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,284.6564919
1/2/1998,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,4,E,9,13,A,7,11,A,7,88,A,7,981,A,7,160,A,7,6.2,A,7,11300,B,7,1500,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,284.5713728
1/2/1998,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,4,E,9,15,A,7,11,A,7,77,A,7,981,A,7,180,A,7,7.7,A,7,11300,B,7,1500,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,285.2269002
1/2/1998,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,4,E,9,16,A,7,12,A,7,77,A,7,980,A,7,180,A,7,8.2,A,7,11300,B,7,1500,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,286.2728226
1/2/1998,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,4,E,9,16,A,7,12,A,7,77,A,7,980,A,7,190,A,7,8.2,A,7,11300,B,7,1500,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,286.9233408
1/3/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,9,E,9,16,A,7,12,A,7,77,A,7,980,A,7,180,A,7,7.7,A,7,11300,B,7,1050,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,287.2093366
1/3/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,9,E,9,16,A,7,12,A,7,77,A,7,980,A,7,190,A,7,9.8,A,7,11300,B,7,840,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,287.3380795
1/3/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,9,E,9,16,A,7,12,A,7,77,A,7,980,A,7,190,A,7,8.2,A,7,11300,B,7,870,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,287.396721
1/3/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,9,E,9,16,A,7,12,A,7,77,A,7,980,A,7,190,A,7,9.3,A,7,11300,B,7,1290,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,287.4235832
1/3/1998,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,9,E,9,16,A,7,12,A,7,77,A,7,980,A,7,180,A,7,8.2,A,7,11300,B,7,1290,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,287.4359208
1/3/1998,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,9,E,9,16,A,7,12,A,7,77,A,7,981,A,7,190,A,7,6.7,A,7,11300,B,7,1050,A,7,1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,287.4415944
1/3/1998,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,A,7,9,E,9,16,A,7,12,A,7,77,A,7,981,A,7,180,A,7,8.7,A,7,11300,B,7,1050,A,7,1.1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,287.4442049
1/3/1998,8:00,21,601,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,9,A,7,9,E,9,16,A,7,12,A,7,77,A,7,981,A,7,180,A,7,8.7,A,7,11300,B,7,1200,A,7,1.1,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,287.4454064
1/3/1998,9:00,210,1415,50,2,9,0,2,21,50,2,9,56,2,9,0,2,21,56,2,9,168,2,25,9,A,7,9,E,9,16,A,7,12,A,7,77,A,7,983,A,7,190,A,7,6.7,A,7,11300,B,7,1350,A,7,1.2,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,287.2674585
1/3/1998,10:00,410,1415,43,2,9,0,2,21,43,2,9,52,2,9,0,2,21,52,2,9,186,2,25,9,A,7,9,E,9,17,A,7,12,A,7,72,A,7,984,A,7,180,A,7,6.7,A,7,11300,B,7,1350,A,7,1.2,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,287.4589686
1/3/1998,11:00,561,1415,65,2,9,0,2,21,65,2,9,78,2,9,0,2,21,78,2,9,294,2,25,10,A,7,10,E,9,16,A,7,13,A,7,82,A,7,984,A,7,180,A,7,5.1,A,7,11300,B,7,1350,A,7,1.2,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,287.3313075
1/3/1998,12:00,650,1415,74,2,9,0,2,21,74,2,9,90,2,9,0,2,21,90,2,9,346,2,25,10,B,8,10,B,8,16.5,B,8,12.9,B,8,79,A,7,983,B,8,180,B,8,6.4,B,8,11300,C,8,1425,B,8,1.3,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,287.1711065
1/3/1998,13:00,672,1415,78,2,9,0,2,21,78,2,9,95,2,9,0,2,21,95,2,9,367,2,25,10,A,7,10,E,9,17,A,7,13,A,7,77,A,7,982,A,7,180,A,7,7.7,A,7,11300,B,7,1500,A,7,1.3,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,287.3469544
1/3/1998,14:00,624,1415,69,2,9,0,2,21,69,2,9,84,2,9,0,2,21,84,2,9,321,2,25,10,A,7,10,E,9,18,A,7,13,A,7,73,A,7,982,A,7,190,A,7,8.7,A,7,11300,B,7,1500,A,7,1.4,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,287.9118102
1/3/1998,15:00,512,1415,55,2,9,0,2,21,55,2,9,67,2,9,0,2,21,67,2,9,246,2,25,10,A,7,10,E,9,18,A,7,13,A,7,73,A,7,982,A,7,190,A,7,8.2,A,7,11300,B,7,1500,A,7,1.4,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,288.4207747
1/3/1998,16:00,341,1415,40,2,9,0,2,21,40,2,9,48,2,9,0,2,21,48,2,9,165,2,25,10,A,7,10,E,9,17,A,7,12,A,7,72,A,7,983,A,7,190,A,7,6.7,A,7,11300,B,7,1500,A,7,1.5,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,288.3691623
1/3/1998,17:00,126,1415,10,2,9,0,2,21,10,2,9,12,2,9,0,2,21,12,2,9,40,2,25,10,A,7,10,E,9,11,A,7,8,A,7,82,A,7,984,A,7,320,A,7,8.2,A,7,11300,B,7,1050,A,7,1.5,E,8,0.066,F,8,0.18,F,8,0,1,D,9,51,C,8,285.5846579
1/3/1998,18:00,0,83,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,A,7,10,E,9,7,A,7,5,A,7,87,A,7,985,A,7,330,A,7,6.7,A,7,8000,B,7,150,A,7,1.6,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,282.327432
1/3/1998,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,5,A,7,4,A,7,93,A,7,986,A,7,330,A,7,7.2,A,7,4800,B,7,150,A,7,1.6,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,279.633369
1/3/1998,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,3.9,B,8,3,B,8,94,A,7,987,B,8,340,B,8,6.7,B,8,4266,C,8,140,B,8,1.6,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,277.7410155
1/3/1998,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,3,B,8,2.1,B,8,94,A,7,987,B,8,350,B,8,6.2,B,8,3733,C,8,130,B,8,1.7,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,276.3564482
1/3/1998,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,2,A,7,1,A,7,93,A,7,988,A,7,360,A,7,5.7,A,7,3200,B,7,120,A,7,1.7,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,274.9130031
1/3/1998,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,1,A,7,0,A,7,93,A,7,989,A,7,330,A,7,5.7,A,7,3200,B,7,120,A,7,1.8,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,273.6143143
1/3/1998,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,0.5,B,8,0,B,8,96,A,7,988,B,8,350,B,8,5.4,B,8,3200,C,8,120,B,8,1.8,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,273.3027368
1/4/1998,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,0,A,7,0,A,7,100,A,7,988,A,7,10,A,7,5.1,A,7,3200,B,7,120,A,7,1.9,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,272.1643749
1/4/1998,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,0,A,7,-1,A,7,92,A,7,987,A,7,10,A,7,5.1,A,7,3200,B,7,120,A,7,1.9,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,271.9295496
1/4/1998,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,A,7,10,E,9,0,A,7,-1,A,7,92,A,7,987,A,7,360,A,7,5.7,A,7,3200,B,7,120,A,7,2,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,271.8132296
1/4/1998,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,0.1,B,8,-0.4,B,8,96,A,7,986,B,8,360,B,8,5.1,B,8,2800,C,8,105,B,8,2,E,8,0.066,F,8,0.18,F,8,0,1,D,9,10,C,8,271.7884622
