725464,NEWTON MUNI,IA,-6,41.683,-93.017,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,10,B,8,-14.8,B,8,-16.5,B,8,85,A,7,979,E,9,10,B,8,1.4,B,8,16100,C,8,1640,B,8,0.8,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,258.2
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,B,8,9,B,8,-15.1,B,8,-16.6,B,8,87,A,7,979,E,9,30,B,8,1.7,B,8,16100,C,8,2470,B,8,0.8,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,257.5971006
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,A,7,-16,A,7,-17,A,7,91,A,7,979,E,9,40,A,7,2.1,A,7,16100,B,7,3300,A,7,0.8,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,257.0460935
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-16,A,7,-17,A,7,91,A,7,979,E,9,60,A,7,1.5,A,7,16100,B,7,3300,A,7,0.8,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,256.5149646
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-15,A,7,-16,A,7,91,A,7,979,E,9,70,A,7,3.1,A,7,16100,B,7,3000,A,7,0.8,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,256.5355138
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-15,A,7,-16,A,7,91,A,7,979,E,9,90,A,7,5.1,A,7,16100,B,7,2400,A,7,0.8,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,256.7294014
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-15,A,7,-17,A,7,83,A,7,979,E,9,90,A,7,6.2,A,7,16100,B,7,2700,A,7,0.8,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,256.824459
1/1/1999,8:00,10,460,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,10,E,9,10,E,9,-15,A,7,-17,A,7,83,A,7,979,E,9,90,A,7,6.7,A,7,16100,B,7,3300,A,7,0.8,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,256.871534
1/1/1999,9:00,173,1415,110,2,9,488,2,21,50,2,9,109,2,9,288,2,21,73,2,9,80,2,25,9,E,9,6,E,9,-14,A,7,-17,A,7,76,A,7,979,E,9,100,A,7,8.2,A,7,16100,B,7,77777,A,7,0.9,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,258.3877011
1/1/1999,10:00,361,1415,246,2,9,715,2,21,63,2,9,254,2,9,600,2,21,100,2,9,116,2,25,8,E,9,7,E,9,-14,A,7,-17,A,7,76,A,7,979,E,9,100,A,7,7.2,A,7,16100,B,7,77777,A,7,0.9,E,8,0.064,F,8,0.19,F,8,0,1,D,9,0,C,8,261.0133031
