723860,LAS VEGAS MCCARRAN INTL AP,NV,-8,36.083,-115.15,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,3,E,9,5.6,A,7,-7.8,A,7,35,A,7,944,A,7,270,A,7,2.1,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,278.6
1/1/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,3,E,9,6.7,A,7,-6.7,A,7,35,A,7,944,A,7,220,A,7,2.6,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,278.1251975
1/1/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,4,E,9,6.1,A,7,-6.7,A,7,37,A,7,944,A,7,230,A,7,1.5,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,278.0231244
1/1/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,3,E,9,6.1,A,7,-6.7,A,7,37,A,7,944,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,277.8594794
1/1/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,3,E,9,5.6,A,7,-6.7,A,7,38,A,7,944,A,7,270,A,7,2.1,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,277.6224131
1/1/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,7,E,9,4,E,9,5.6,A,7,-6.7,A,7,38,A,7,945,A,7,250,A,7,2.6,A,7,16000,B,7,77777,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,277.4120975
1/1/2001,7:00,1,153,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,4,E,9,2,E,9,5,A,7,-7.2,A,7,38,A,7,945,A,7,240,A,7,2.6,A,7,16000,B,7,7620,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,277.1222483
1/1/2001,8:00,146,1415,65,2,9,485,2,21,15,2,9,70,2,9,327,2,21,36,2,9,40,2,25,2,E,9,1,E,9,4.4,A,7,-7.2,A,7,40,A,7,946,A,7,230,A,7,1.5,A,7,16000,B,7,7620,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,279.6012535
1/1/2001,9:00,371,1415,237,2,9,760,2,21,37,2,9,251,2,9,664,2,21,76,2,9,88,2,25,0,E,9,0,E,9,7.2,A,7,-6.7,A,7,34,A,7,947,A,7,200,A,7,1.5,A,7,16000,B,7,77777,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,283.1876673
1/1/2001,10:00,551,1415,374,2,9,784,2,21,68,2,9,390,2,9,741,2,21,100,2,9,139,2,25,0,E,9,0,E,9,10.6,A,7,-7.2,A,7,26,A,7,948,A,7,170,A,7,2.1,A,7,16000,B,7,77777,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,285.1996796
1/1/2001,11:00,671,1415,466,2,9,809,2,21,81,2,9,488,2,9,789,2,21,113,2,9,172,2,25,0,E,9,0,E,9,12.2,A,7,-7.2,A,7,23,A,7,948,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,285.9854664
1/1/2001,12:00,724,1415,522,2,9,828,2,21,97,2,9,542,2,9,810,2,21,125,2,9,201,2,25,0,E,9,0,E,9,13.9,A,7,-7.2,A,7,21,A,7,947,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,287.6421399
1/1/2001,13:00,705,1415,488,2,9,793,2,21,91,2,9,508,2,9,775,2,21,120,2,9,190,2,25,0,E,9,0,E,9,15,A,7,-7.2,A,7,19,A,7,947,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,288.9437051
1/1/2001,14:00,617,1415,450,2,9,894,2,21,59,2,9,473,2,9,857,2,21,98,2,9,135,2,25,0,E,9,0,E,9,16.1,A,7,-6.7,A,7,19,A,7,946,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,291.0724981
1/1/2001,15:00,464,1415,327,2,9,777,2,21,71,2,9,332,2,9,702,2,21,100,2,9,129,2,25,0,E,9,0,E,9,16.7,A,7,-6.7,A,7,18,A,7,946,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,292.2042432
1/1/2001,16:00,259,1415,191,2,9,513,2,21,96,2,9,188,2,9,365,2,21,121,2,9,187,2,25,0,E,9,0,E,9,16.1,A,7,-7.2,A,7,18,A,7,944,A,7,260,A,7,1.5,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,290.8963092
1/1/2001,17:00,42,837,4,2,9,120,2,21,2,2,9,9,2,9,69,2,21,6,2,9,8,2,25,0,E,9,0,E,9,15,A,7,-6.7,A,7,20,A,7,946,A,7,210,A,7,2.1,A,7,16000,B,7,77777,A,7,0.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,287.8315685
1/1/2001,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,11.7,A,7,-7.2,A,7,24,A,7,946,A,7,230,A,7,3.1,A,7,12800,B,7,77777,A,7,0.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,284.8298202
1/1/2001,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,9.4,A,7,-6.7,A,7,29,A,7,946,A,7,260,A,7,2.1,A,7,16000,B,7,77777,A,7,0.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,281.9436383
1/1/2001,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,0,E,9,9.4,A,7,-6.7,A,7,29,A,7,947,A,7,240,A,7,3.1,A,7,16000,B,7,77777,A,7,0.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,281.437811
1/1/2001,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7.8,A,7,-7.8,A,7,30,A,7,947,A,7,270,B,8,2.1,A,7,16000,B,7,77777,A,7,0.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,280.1719373
1/1/2001,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7.2,A,7,-9.4,A,7,27,A,7,947,A,7,300,A,7,2.1,A,7,16000,B,7,77777,A,7,0.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,279.5905618
1/1/2001,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7.2,A,7,-8.3,A,7,30,A,7,948,A,7,250,A,7,3.6,A,7,16000,B,7,77777,A,7,0.4,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,279.1809244
1/1/2001,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6.1,A,7,-8.3,A,7,32,A,7,948,A,7,270,A,7,3.6,A,7,16000,B,7,77777,A,7,0.5,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,278.7860937
1/2/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6.7,A,7,-8.9,A,7,29,A,7,949,A,7,290,A,7,2.1,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,278.4250961
1/2/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5.6,A,7,-7.8,A,7,35,A,7,949,A,7,220,B,8,1.5,A,7,16000,B,7,77777,A,7,0.6,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,278.020726
1/2/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5,A,7,-9.4,A,7,31,A,7,949,A,7,150,A,7,2.6,A,7,16000,B,7,77777,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,277.4380202
1/2/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3.9,A,7,-8.3,A,7,37,A,7,949,A,7,310,A,7,2.1,A,7,16000,B,7,77777,A,7,0.7,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,276.335116
1/2/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,7.2,A,7,-8.9,A,7,28,A,7,950,A,7,30,A,7,3.1,A,7,16000,B,7,77777,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,277.0446941
1/2/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,9.4,A,7,-7.8,A,7,27,A,7,952,A,7,20,A,7,4.6,A,7,16000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,278.8160384
1/2/2001,7:00,1,153,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,6.1,A,7,-8.9,A,7,30,A,7,952,A,7,70,B,8,1.5,A,7,16000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,278.9007772
1/2/2001,8:00,146,1415,65,2,9,401,2,21,23,2,9,65,2,9,251,2,21,39,2,9,43,2,25,0,E,9,0,E,9,8.9,A,7,-8.9,A,7,25,A,7,954,A,7,120,A,7,4.6,A,7,16000,B,7,77777,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,281.7785917
1/2/2001,9:00,371,1415,207,2,9,499,2,21,75,2,9,211,2,9,418,2,21,100,2,9,134,2,25,0,E,9,0,E,9,12.2,A,7,-9.4,A,7,19,A,7,955,A,7,70,A,7,4.1,A,7,16000,B,7,77777,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,285.569534
1/2/2001,10:00,551,1415,359,2,9,674,2,21,95,2,9,373,2,9,635,2,21,124,2,9,185,2,25,0,E,9,0,E,9,13.3,A,7,-9.4,A,7,18,A,7,954,A,7,60,B,8,2.6,A,7,16000,B,7,77777,A,7,1.1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,287.8084663
1/2/2001,11:00,672,1415,443,2,9,703,2,21,108,2,9,465,2,9,689,2,21,137,2,9,226,2,25,0,E,9,0,E,9,15.6,A,7,-8.9,A,7,16,A,7,956,A,7,50,A,7,6.7,A,7,16000,B,7,77777,A,7,1.1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,288.2966648
1/2/2001,12:00,725,1415,510,2,9,828,2,21,84,2,9,538,2,9,816,2,21,118,2,9,185,2,25,0,E,9,0,E,9,16.1,A,7,-10.6,A,7,13,A,7,956,A,7,50,A,7,7.2,A,7,16000,B,7,77777,A,7,1.1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,289.4539893
1/2/2001,13:00,707,1415,501,2,9,859,2,21,69,2,9,524,2,9,837,2,21,103,2,9,154,2,25,0,E,9,0,E,9,16.7,A,7,-10.6,A,7,13,A,7,955,A,7,40,A,7,7.7,A,7,16000,B,7,77777,A,7,1.1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,293.3685411
1/2/2001,14:00,619,1415,436,2,9,787,2,21,89,2,9,446,2,9,752,2,21,115,2,9,171,2,25,0,E,9,0,E,9,17.2,A,7,-10.6,A,7,13,A,7,955,A,7,60,A,7,6.7,A,7,16000,B,7,77777,A,7,1.1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,292.506647
1/2/2001,15:00,467,1415,334,2,9,816,2,21,64,2,9,344,2,9,743,2,21,97,2,9,123,2,25,0,E,9,0,E,9,17.8,A,7,-10.6,A,7,12,A,7,955,A,7,40,A,7,5.7,A,7,16000,B,7,77777,A,7,1.1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,292.8430011
1/2/2001,16:00,262,1415,203,2,9,586,2,21,93,2,9,201,2,9,420,2,21,123,2,9,179,2,25,0,E,9,0,E,9,17.2,A,7,-11.1,A,7,12,A,7,952,A,7,40,A,7,4.1,A,7,16000,B,7,77777,A,7,1.1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,291.870127
1/2/2001,17:00,44,861,5,2,9,144,2,21,2,2,9,11,2,9,83,2,21,7,2,9,8,2,25,0,E,9,0,E,9,16.1,A,7,-11.1,A,7,13,A,7,954,A,7,20,B,8,1.5,A,7,16000,B,7,77777,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,288.7661565
1/2/2001,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,13.9,A,7,-11.1,A,7,15,A,7,954,A,7,350,A,7,3.1,A,7,16000,B,7,77777,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,285.9809811
1/2/2001,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,14.4,A,7,-10.6,A,7,15,A,7,955,A,7,30,A,7,4.1,A,7,16000,B,7,77777,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,285.8276104
1/2/2001,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,12.8,A,7,-11.1,A,7,16,A,7,955,A,7,20,B,8,1.5,A,7,16000,B,7,77777,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,285.3531517
1/2/2001,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,10,A,7,-11.1,A,7,19,A,7,955,A,7,10,B,8,1.5,A,7,16000,B,7,77777,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,282.4996841
1/2/2001,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,12.2,A,7,-12.2,A,7,15,A,7,954,A,7,360,A,7,2.6,A,7,16000,B,7,77777,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,282.7345437
1/2/2001,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,12.8,A,7,-11.7,A,7,15,A,7,956,A,7,70,A,7,4.1,A,7,16000,B,7,77777,A,7,1.2,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,283.4809356
1/2/2001,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,12.8,A,7,-11.7,A,7,15,A,7,956,A,7,40,A,7,3.1,A,7,16000,B,7,77777,A,7,1.1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,283.9286302
1/3/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5.6,A,7,-10,A,7,29,A,7,954,A,7,200,A,7,2.6,A,7,16000,B,7,77777,A,7,1.1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,280.5495835
1/3/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4.4,A,7,-11.7,A,7,27,A,7,954,A,7,250,A,7,3.1,A,7,16000,B,7,77777,A,7,1.1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,277.1439847
1/3/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,0,E,9,3.9,A,7,-11.7,A,7,28,A,7,954,A,7,250,A,7,4.1,A,7,16000,B,7,77777,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,276.5044201
1/3/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,2,E,9,1,E,9,3.3,A,7,-11.7,A,7,29,A,7,954,A,7,220,A,7,4.1,A,7,16000,B,7,77777,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,275.9300027
1/3/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3.3,A,7,-11.7,A,7,29,A,7,954,A,7,240,A,7,3.1,A,7,16000,B,7,77777,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,275.4395797
1/3/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2.8,A,7,-12.8,A,7,27,A,7,955,A,7,270,A,7,2.6,A,7,16000,B,7,77777,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,275.0383479
1/3/2001,7:00,1,153,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,2.8,A,7,-12.8,A,7,27,A,7,955,A,7,280,A,7,2.1,A,7,16000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,274.7430937
1/3/2001,8:00,146,1415,65,2,9,463,2,21,17,2,9,69,2,9,311,2,21,37,2,9,41,2,25,0,E,9,0,E,9,3.9,A,7,-11.7,A,7,28,A,7,956,A,7,280,A,7,3.1,A,7,14400,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,277.9693159
1/3/2001,9:00,371,1415,228,2,9,678,2,21,49,2,9,234,2,9,585,2,21,80,2,9,96,2,25,0,E,9,0,E,9,7.8,A,7,-10.6,A,7,23,A,7,957,A,7,230,A,7,3.1,A,7,16000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,282.3901679
1/3/2001,10:00,552,1415,359,2,9,709,2,21,81,2,9,377,2,9,673,2,21,113,2,9,162,2,25,0,E,9,0,E,9,11.7,A,7,-11.7,A,7,16,A,7,956,A,7,180,A,7,1.5,A,7,16000,B,7,77777,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,285.3174194
1/3/2001,11:00,673,1415,477,2,9,845,2,21,73,2,9,505,2,9,828,2,21,110,2,9,162,2,25,0,E,9,0,E,9,13.3,A,7,-12.8,A,7,13,A,7,957,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,287.1922828
1/3/2001,12:00,727,1415,504,2,9,798,2,21,92,2,9,526,2,9,784,2,21,121,2,9,196,2,25,0,E,9,0,E,9,15,A,7,-11.7,A,7,13,A,7,956,A,7,360,B,8,1.5,A,7,16000,B,7,77777,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,288.470709
1/3/2001,13:00,710,1415,494,2,9,762,2,21,110,2,9,520,2,9,754,2,21,141,2,9,237,2,25,0,E,9,0,E,9,15.6,A,7,-12.2,A,7,12,A,7,955,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,289.105898
1/3/2001,14:00,622,1415,470,2,9,912,2,21,67,2,9,492,2,9,875,2,21,105,2,9,139,2,25,0,E,9,0,E,9,16.7,A,7,-12.8,A,7,11,A,7,955,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.8,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,291.0673692
1/3/2001,15:00,471,1415,325,2,9,702,2,21,90,2,9,334,2,9,634,2,21,122,2,9,167,2,25,0,E,9,0,E,9,17.8,A,7,-11.1,A,7,12,A,7,954,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,292.0383437
1/3/2001,16:00,266,1415,199,2,9,547,2,21,95,2,9,197,2,9,395,2,21,122,2,9,184,2,25,0,E,9,0,E,9,16.1,A,7,-12.8,A,7,11,A,7,951,A,7,200,A,7,1.5,A,7,16000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,290.7244321
1/3/2001,17:00,46,884,5,2,9,140,2,21,3,2,9,12,2,9,81,2,21,7,2,9,11,2,25,0,E,9,0,E,9,14.4,A,7,-13.3,A,7,12,A,7,953,A,7,250,A,7,1.5,A,7,16000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,287.4944109
1/3/2001,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,11.7,A,7,-13.3,A,7,14,A,7,953,A,7,260,A,7,3.1,A,7,16000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,284.1877028
1/3/2001,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,8.9,A,7,-13.3,A,7,17,A,7,953,A,7,260,A,7,3.1,A,7,16000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,281.4448027
1/3/2001,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,8.3,A,7,-13.9,A,7,17,A,7,952,A,7,260,A,7,4.6,A,7,16000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,280.9471266
1/3/2001,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,8.3,A,7,-13.9,A,7,17,A,7,952,A,7,210,A,7,4.1,A,7,16000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,280.4024773
1/3/2001,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6.7,A,7,-15.6,A,7,16,A,7,950,A,7,260,A,7,2.6,A,7,16000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,279.0482915
1/3/2001,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6.7,A,7,-15,A,7,17,A,7,951,A,7,230,A,7,3.1,A,7,16000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,278.6640564
1/3/2001,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,6.1,A,7,-14.4,A,7,19,A,7,950,A,7,260,A,7,4.1,A,7,16000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,278.2888104
1/4/2001,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,4.4,A,7,-15,A,7,20,A,7,950,A,7,230,A,7,3.1,A,7,16000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,277.1710157
1/4/2001,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5.6,A,7,-14.4,A,7,19,A,7,950,A,7,250,A,7,4.6,A,7,16000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,276.9728285
1/4/2001,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,5,A,7,-15,A,7,19,A,7,949,A,7,0,A,7,0,A,7,16000,B,7,77777,A,7,0.9,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,276.9072946
1/4/2001,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3.3,A,7,-15,A,7,21,A,7,949,A,7,220,A,7,1.5,A,7,16000,B,7,77777,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,275.799598
1/4/2001,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2.8,A,7,-13.3,A,7,26,A,7,949,A,7,280,A,7,2.6,A,7,16000,B,7,77777,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,275.2287578
1/4/2001,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,2.2,A,7,-14.4,A,7,24,A,7,949,A,7,210,A,7,1.5,A,7,16000,B,7,77777,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,274.6680844
1/4/2001,7:00,1,153,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,0,E,9,0,E,9,2.8,A,7,-14.4,A,7,23,A,7,949,A,7,250,A,7,2.6,A,7,16000,B,7,77777,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,274.4498541
1/4/2001,8:00,145,1415,60,2,9,421,2,21,16,2,9,63,2,9,283,2,21,34,2,9,41,2,25,0,E,9,0,E,9,4.4,A,7,-13.9,A,7,22,A,7,950,A,7,240,A,7,3.6,A,7,16000,B,7,77777,A,7,1,E,8,0,F,8,0,F,8,0,1,D,9,0,C,8,277.7177862
